timestamp,pageview
2020010100,37
2020010200,39
2020010300,26
2020010400,30
2020010500,34
2020010600,28
2020010700,29
2020010800,31
2020010900,35
2020011000,39
2020011100,32
2020011200,32
2020011300,38
2020011400,25
2020011500,21
2020011600,41
2020011700,29
2020011800,30
2020011900,32
2020012000,36
2020012100,31
2020012200,34
2020012300,36
2020012400,23
2020012500,38
2020012600,35
2020012700,29
2020012800,35
2020012900,52
2020013000,25
2020013100,35
2020020100,34
2020020200,36
2020020300,22
2020020400,21
2020020500,27
2020020600,41
2020020700,37
2020020800,31
2020020900,48
2020021000,30
2020021100,40
2020021200,32
2020021300,32
2020021400,19
2020021500,36
2020021600,31
2020021700,37
2020021800,56
2020021900,32
2020022000,38
2020022100,27
2020022200,55
2020022300,46
2020022400,19
2020022500,27
2020022600,33
2020022700,29
2020022800,49
2020022900,33
2020030100,37
2020030200,35
2020030300,25
2020030400,27
2020030500,23
2020030600,23
2020030700,34
2020030800,36
2020030900,25
2020031000,30
2020031100,36
2020031200,30
2020031300,25
2020031400,32
2020031500,35
2020031600,27
2020031700,24
2020031800,43
2020031900,42
2020032000,30
2020032100,37
2020032200,35
2020032300,34
2020032400,36
2020032500,32
2020032600,26
2020032700,32
2020032800,44
2020032900,40
2020033000,28
2020033100,40
2020040100,23
2020040200,39
2020040300,34
2020040400,31
2020040500,47
2020040600,20
2020040700,34
2020040800,30
2020040900,30
2020041000,37
2020041100,48
2020041200,48
2020041300,36
2020041400,43
2020041500,41
2020041600,39
2020041700,28
2020041800,48
2020041900,44
2020042000,47
2020042100,30
2020042200,30
2020042300,40
2020042400,28
2020042500,36
2020042600,255
2020042700,30
2020042800,39
2020042900,74
2020043000,32
2020050100,32
2020050200,43
2020050300,54
2020050400,32
2020050500,36
2020050600,23
2020050700,28
2020050800,41
2020050900,38
2020051000,38
2020051100,41
2020051200,37
2020051300,23
2020051400,39
2020051500,42
2020051600,33
2020051700,46
2020051800,55
2020051900,34
2020052000,31
2020052100,31
2020052200,41
2020052300,48
2020052400,49
2020052500,36
2020052600,37
2020052700,33
2020052800,24
2020052900,24
2020053000,54
2020053100,40
2020060100,27
2020060200,27
2020060300,23
2020060400,32
2020060500,30
2020060600,17
2020060700,40
2020060800,23
2020060900,35
2020061000,41
2020061100,31
2020061200,37
2020061300,41
2020061400,41
2020061500,32
2020061600,38
2020061700,29
2020061800,29
2020061900,40
2020062000,37
2020062100,41
2020062200,31
2020062300,30
2020062400,32
2020062500,33
2020062600,29
2020062700,25
2020062800,32
2020062900,23
2020063000,31
2020070100,31
2020070200,28
2020070300,38
2020070400,25
2020070500,44
2020070600,38
2020070700,36
2020070800,36
2020070900,58
2020071000,4419
2020071100,2397
2020071200,1233
2020071300,900
2020071400,705
2020071500,457
2020071600,375
2020071700,455
2020071800,421
2020071900,393
2020072000,334
2020072100,337
2020072200,607
2020072300,307
2020072400,270
2020072500,252
2020072600,259
2020072700,229
2020072800,220
2020072900,248
2020073000,284
2020073100,239
2020080100,189
2020080200,194
2020080300,158
2020080400,192
2020080500,126
2020080600,134
2020080700,175
2020080800,162
2020080900,173
2020081000,151
2020081100,136
2020081200,153
2020081300,141
2020081400,157
2020081500,132
2020081600,148
2020081700,127
2020081800,122
2020081900,111
2020082000,108
2020082100,120
2020082200,120
2020082300,82
2020082400,63
2020082500,66
2020082600,54
2020082700,51
2020082800,64
2020082900,67
2020083000,59
2020083100,47
2020090100,53
2020090200,53
2020090300,80
2020090400,61
2020090500,62
2020090600,75
2020090700,67
2020090800,73
2020090900,69
2020091000,53
2020091100,45
2020091200,72
2020091300,50
2020091400,44
2020091500,56
2020091600,50
2020091700,48
2020091800,53
2020091900,47
2020092000,47
2020092100,89
2020092200,73
2020092300,68
2020092400,64
2020092500,42
2020092600,54
2020092700,55
2020092800,72
2020092900,58
2020093000,51
2020100100,36
2020100200,34
2020100300,43
2020100400,58
2020100500,53
2020100600,69
2020100700,67
2020100800,34
2020100900,53
2020101000,44
2020101100,53
2020101200,43
2020101300,47
2020101400,48
2020101500,58
2020101600,56
2020101700,41
2020101800,68
2020101900,57
2020102000,58
2020102100,59
2020102200,42
2020102300,50
2020102400,47
2020102500,51
2020102600,30
2020102700,50
2020102800,37
2020102900,45
2020103000,53
2020103100,44
2020110100,38
2020110200,48
2020110300,52
2020110400,41
2020110500,29
2020110600,51
2020110700,62
2020110800,55
2020110900,58
2020111000,65
2020111100,52
2020111200,113
2020111300,58
2020111400,82
2020111500,93
2020111600,51
2020111700,60
2020111800,43
2020111900,58
2020112000,52
2020112100,51
2020112200,55
2020112300,60
2020112400,42
2020112500,48
2020112600,47
2020112700,44
2020112800,44
2020112900,42
2020113000,54
2020120100,46
2020120200,40
2020120300,37
2020120400,46
2020120500,75
2020120600,61
2020120700,52
2020120800,51
2020120900,53
2020121000,56
2020121100,50
2020121200,49
2020121300,81
2020121400,72
2020121500,69
2020121600,41
2020121700,71
2020121800,69
2020121900,60
2020122000,46
2020122100,40
2020122200,64
2020122300,49
2020122400,71
2020122500,70
2020122600,76
2020122700,75
2020122800,48
2020122900,47
2020123000,86
2020123100,103
