timestamp,pageview
2020010100,90
2020010200,86
2020010300,146
2020010400,116
2020010500,118
2020010600,129
2020010700,128
2020010800,153
2020010900,149
2020011000,191
2020011100,85
2020011200,98
2020011300,87
2020011400,130
2020011500,119
2020011600,157
2020011700,77
2020011800,97
2020011900,115
2020012000,100
2020012100,87
2020012200,121
2020012300,128
2020012400,132
2020012500,127
2020012600,117
2020012700,109
2020012800,118
2020012900,137
2020013000,278
2020013100,211
2020020100,111
2020020200,108
2020020300,112
2020020400,117
2020020500,175
2020020600,128
2020020700,140
2020020800,105
2020020900,106
2020021000,152
2020021100,119
2020021200,96
2020021300,139
2020021400,140
2020021500,97
2020021600,72
2020021700,112
2020021800,155
2020021900,142
2020022000,122
2020022100,103
2020022200,90
2020022300,92
2020022400,147
2020022500,149
2020022600,167
2020022700,314
2020022800,229
2020022900,248
2020030100,341
2020030200,307
2020030300,279
2020030400,225
2020030500,339
2020030600,1134
2020030700,505
2020030800,558
2020030900,886
2020031000,508
2020031100,349
2020031200,442
2020031300,2366
2020031400,1163
2020031500,16313
2020031600,13977
2020031700,10867
2020031800,2151
2020031900,2754
2020032000,1318
2020032100,17714
2020032200,2751
2020032300,2255
2020032400,1491
2020032500,857
2020032600,1293
2020032700,911
2020032800,2833
2020032900,6184
2020033000,1824
2020033100,3586
2020040100,2069
2020040200,879
2020040300,1552
2020040400,1113
2020040500,3961
2020040600,19334
2020040700,6862
2020040800,3012
2020040900,970
2020041000,1229
2020041100,1353
2020041200,1177
2020041300,708
2020041400,864
2020041500,732
2020041600,799
2020041700,7293
2020041800,3158
2020041900,1138
2020042000,20356
2020042100,5354
2020042200,1516
2020042300,942
2020042400,1010
2020042500,813
2020042600,530
2020042700,7825
2020042800,2474
2020042900,1220
2020043000,695
2020050100,441
2020050200,402
2020050300,349
2020050400,414
2020050500,361
2020050600,419
2020050700,251
2020050800,325
2020050900,381
2020051000,322
2020051100,16691
2020051200,16379
2020051300,3462
2020051400,1314
2020051500,657
2020051600,462
2020051700,483
2020051800,647
2020051900,410
2020052000,418
2020052100,313
2020052200,434
2020052300,446
2020052400,276
2020052500,362
2020052600,235
2020052700,198
2020052800,183
2020052900,231
2020053000,311
2020053100,249
2020060100,227
2020060200,641
2020060300,224
2020060400,300
2020060500,203
2020060600,188
2020060700,187
2020060800,205
2020060900,191
2020061000,302
2020061100,230
2020061200,209
2020061300,129
2020061400,147
2020061500,220
2020061600,178
2020061700,131
2020061800,153
2020061900,138
2020062000,113
2020062100,156
2020062200,135
2020062300,4905
2020062400,983
2020062500,366
2020062600,345
2020062700,184
2020062800,225
2020062900,206
2020063000,3067
2020070100,530
2020070200,966
2020070300,1362
2020070400,446
2020070500,386
2020070600,233
2020070700,246
2020070800,2570
2020070900,530
2020071000,282
2020071100,275
2020071200,7983
2020071300,6832
2020071400,11282
2020071500,3496
2020071600,1118
2020071700,1274
2020071800,550
2020071900,496
2020072000,1889
2020072100,711
2020072200,404
2020072300,1780
2020072400,478
2020072500,424
2020072600,3445
2020072700,3135
2020072800,765
2020072900,500
2020073000,603
2020073100,11067
2020080100,2125
2020080200,8403
2020080300,5162
2020080400,1772
2020080500,855
2020080600,492
2020080700,432
2020080800,539
2020080900,362
2020081000,330
2020081100,295
2020081200,284
2020081300,911
2020081400,3112
2020081500,1134
2020081600,468
2020081700,343
2020081800,634
2020081900,351
2020082000,372
2020082100,340
2020082200,227
2020082300,569
2020082400,386
2020082500,287
2020082600,1839
2020082700,2167
2020082800,456
2020082900,276
2020083000,293
2020083100,275
2020090100,780
2020090200,645
2020090300,308
2020090400,356
2020090500,205
2020090600,178
2020090700,177
2020090800,177
2020090900,228
2020091000,2431
2020091100,470
2020091200,230
2020091300,191
2020091400,275
2020091500,224
2020091600,614
2020091700,421
2020091800,907
2020091900,283
2020092000,2220
2020092100,821
2020092200,329
2020092300,3194
2020092400,567
2020092500,234
2020092600,169
2020092700,157
2020092800,2390
2020092900,1077
2020093000,724
2020100100,943
2020100200,348
2020100300,304
2020100400,250
2020100500,285
2020100600,257
2020100700,294
2020100800,202
2020100900,198
2020101000,191
2020101100,227
2020101200,167
2020101300,154
2020101400,125
2020101500,148
2020101600,174
2020101700,148
2020101800,182
2020101900,714
2020102000,358
2020102100,232
2020102200,211
2020102300,172
2020102400,169
2020102500,149
2020102600,182
2020102700,346
2020102800,1510
2020102900,916
2020103000,429
2020103100,324
2020110100,403
2020110200,413
2020110300,190
2020110400,162
2020110500,148
2020110600,144
2020110700,155
2020110800,265
2020110900,389
2020111000,308
2020111100,251
2020111200,253
2020111300,248
2020111400,160
2020111500,778
2020111600,502
2020111700,412
2020111800,1136
2020111900,2793
2020112000,811
2020112100,287
2020112200,172
2020112300,221
2020112400,1674
2020112500,2383
2020112600,623
2020112700,278
2020112800,144
2020112900,2665
2020113000,1300
2020120100,450
2020120200,376
2020120300,423
2020120400,290
2020120500,204
2020120600,160
2020120700,1535
2020120800,3959
2020120900,936
2020121000,888
2020121100,909
2020121200,362
2020121300,296
2020121400,250
2020121500,631
2020121600,1246
2020121700,1309
2020121800,469
2020121900,328
2020122000,1037
2020122100,2175
2020122200,643
2020122300,242
2020122400,329
2020122500,153
2020122600,148
2020122700,1449
2020122800,1133
2020122900,989
2020123000,1332
2020123100,815
