timestamp,pageview
2020050400,1464
2020050500,2266
2020050600,2754
2020050700,2502
2020050800,2616
2020050900,3203
2020051000,3201
2020051100,3286
2020051200,3048
2020051300,2644
2020051400,2434
2020051500,2259
2020051600,2038
2020051700,2145
2020051800,2107
2020051900,1840
2020052000,1998
2020052100,2234
2020052200,2217
2020052300,1808
2020052400,1883
2020052500,1883
2020052600,2003
2020052700,1728
2020052800,1677
2020052900,1714
2020053000,1523
2020053100,1560
2020060100,1660
2020060200,1568
2020060300,1453
2020060400,1579
2020060500,1500
2020060600,1534
2020060700,1972
2020060800,1671
2020060900,1802
2020061000,1536
2020061100,1613
2020061200,1439
2020061300,1496
2020061400,1559
2020061500,1594
2020061600,1706
2020061700,1835
2020061800,1664
2020061900,1701
2020062000,1689
2020062100,1565
2020062200,1856
2020062300,1678
2020062400,1628
2020062500,2008
2020062600,1675
2020062700,1625
2020062800,1848
2020062900,1730
2020063000,1631
2020070100,1686
2020070200,2271
2020070300,1686
2020070400,1616
2020070500,1725
2020070600,1828
2020070700,1708
2020070800,1605
2020070900,1560
2020071000,3649
2020071100,9737
2020071200,10997
2020071300,21025
2020071400,1835
2020071500,2536
2020071600,1792
2020071700,2086
2020071800,1508
2020071900,2110
2020072000,1535
2020072100,1562
2020072200,1797
2020072300,3109
2020072400,2584
2020072500,2240
2020072600,2353
2020072700,2473
2020072800,2237
2020072900,2088
2020073000,2141
2020073100,2108
2020080100,1726
2020080200,1890
2020080300,1963
2020080400,1993
2020080500,1800
2020080600,1748
2020080700,1641
2020080800,1452
2020080900,1741
2020081000,1731
2020081100,1861
2020081200,1846
2020081300,1518
2020081400,2082
2020081500,1337
2020081600,1494
2020081700,1525
2020081800,1536
2020081900,1494
2020082000,1470
2020082100,1398
2020082200,1364
2020082300,1376
2020082400,1406
2020082500,1356
2020082600,1557
2020082700,1374
2020082800,1291
2020082900,1177
2020083000,1235
2020083100,1315
2020090100,1401
2020090200,1204
2020090300,1471
2020090400,1248
2020090500,1229
2020090600,1248
2020090700,1361
2020090800,1441
2020090900,1328
2020091000,1395
2020091100,1350
2020091200,1136
2020091300,1187
2020091400,1269
2020091500,1210
2020091600,1318
2020091700,1323
2020091800,1339
2020091900,967
2020092000,1114
2020092100,1349
2020092200,1752
2020092300,1253
2020092400,1206
2020092500,1196
2020092600,1032
2020092700,989
2020092800,1294
2020092900,1429
2020093000,1394
2020100100,1297
2020100200,1381
2020100300,1419
2020100400,1302
2020100500,1382
2020100600,1212
2020100700,1073
2020100800,1096
2020100900,994
2020101000,1007
2020101100,1083
2020101200,1184
2020101300,1118
2020101400,1183
2020101500,1231
2020101600,1239
2020101700,1081
2020101800,1073
2020101900,1143
2020102000,1059
2020102100,1115
2020102200,1103
2020102300,1080
2020102400,980
2020102500,1009
2020102600,1155
2020102700,1550
2020102800,1333
2020102900,1179
2020103000,1220
2020103100,1176
2020110100,1105
2020110200,1046
2020110300,1018
2020110400,969
2020110500,855
2020110600,951
2020110700,1424
2020110800,922
2020110900,1037
2020111000,835
2020111100,1050
2020111200,1085
2020111300,995
2020111400,929
2020111500,939
2020111600,1052
2020111700,1078
2020111800,1076
2020111900,1064
2020112000,904
2020112100,903
2020112200,1092
2020112300,1305
2020112400,798
2020112500,1012
2020112600,754
2020112700,756
2020112800,784
2020112900,764
2020113000,773
2020120100,831
2020120200,930
2020120300,808
2020120400,824
2020120500,748
2020120600,763
2020120700,801
2020120800,882
2020120900,826
2020121000,764
2020121100,782
2020121200,808
2020121300,844
2020121400,826
2020121500,815
2020121600,960
2020121700,753
2020121800,848
2020121900,1087
2020122000,1256
2020122100,1297
2020122200,1334
2020122300,1395
2020122400,1216
2020122500,925
2020122600,956
2020122700,1483
2020122800,1272
2020122900,1242
2020123000,1275
2020123100,1329
