timestamp,pageview
2020050400,2079
2020050500,2192
2020050600,2370
2020050700,2122
2020050800,2443
2020050900,2420
2020051000,2340
2020051100,2545
2020051200,2313
2020051300,2333
2020051400,2246
2020051500,2054
2020051600,2177
2020051700,2291
2020051800,2309
2020051900,2089
2020052000,1970
2020052100,2022
2020052200,1912
2020052300,1694
2020052400,1686
2020052500,1918
2020052600,1851
2020052700,1564
2020052800,1742
2020052900,1622
2020053000,1607
2020053100,1627
2020060100,1572
2020060200,1492
2020060300,1436
2020060400,1643
2020060500,1539
2020060600,1563
2020060700,1975
2020060800,1653
2020060900,1644
2020061000,1603
2020061100,1521
2020061200,1373
2020061300,1530
2020061400,1499
2020061500,1598
2020061600,1781
2020061700,1654
2020061800,1527
2020061900,1296
2020062000,1215
2020062100,1285
2020062200,1341
2020062300,1157
2020062400,1165
2020062500,1346
2020062600,1155
2020062700,1119
2020062800,1277
2020062900,1491
2020063000,1467
2020070100,1242
2020070200,1344
2020070300,1296
2020070400,1206
2020070500,1368
2020070600,1569
2020070700,1682
2020070800,1543
2020070900,1473
2020071000,1267
2020071100,1368
2020071200,1086
2020071300,1356
2020071400,1364
2020071500,1550
2020071600,1451
2020071700,1462
2020071800,1319
2020071900,1577
2020072000,1313
2020072100,1220
2020072200,1252
2020072300,1328
2020072400,1201
2020072500,1158
2020072600,1669
2020072700,1821
2020072800,1627
2020072900,1585
2020073000,1526
2020073100,1406
2020080100,1298
2020080200,1476
2020080300,1527
2020080400,1393
2020080500,1382
2020080600,1542
2020080700,1516
2020080800,1184
2020080900,1175
2020081000,1316
2020081100,1506
2020081200,1071
2020081300,1125
2020081400,1818
2020081500,947
2020081600,1202
2020081700,1296
2020081800,1258
2020081900,1086
2020082000,1136
2020082100,1040
2020082200,1006
2020082300,1018
2020082400,961
2020082500,1105
2020082600,1210
2020082700,1045
2020082800,929
2020082900,958
2020083000,1006
2020083100,1031
2020090100,915
2020090200,894
2020090300,918
2020090400,908
2020090500,869
2020090600,928
2020090700,1023
2020090800,944
2020090900,985
2020091000,1117
2020091100,1188
2020091200,1006
2020091300,986
2020091400,994
2020091500,901
2020091600,1054
2020091700,951
2020091800,845
2020091900,754
2020092000,787
2020092100,924
2020092200,1094
2020092300,1090
2020092400,942
2020092500,833
2020092600,691
2020092700,727
2020092800,1008
2020092900,907
2020093000,849
2020100100,738
2020100200,757
2020100300,759
2020100400,839
2020100500,858
2020100600,848
2020100700,863
2020100800,821
2020100900,893
2020101000,787
2020101100,805
2020101200,906
2020101300,827
2020101400,868
2020101500,1132
2020101600,821
2020101700,746
2020101800,738
2020101900,889
2020102000,1002
2020102100,953
2020102200,932
2020102300,851
2020102400,815
2020102500,867
2020102600,896
2020102700,898
2020102800,1005
2020102900,1074
2020103000,867
2020103100,820
2020110100,865
2020110200,995
2020110300,903
2020110400,815
2020110500,680
2020110600,656
2020110700,1088
2020110800,668
2020110900,749
2020111000,818
2020111100,745
2020111200,829
2020111300,688
2020111400,672
2020111500,926
2020111600,780
2020111700,853
2020111800,961
2020111900,832
2020112000,778
2020112100,727
2020112200,823
2020112300,1053
2020112400,690
2020112500,675
2020112600,676
2020112700,676
2020112800,587
2020112900,596
2020113000,799
2020120100,704
2020120200,811
2020120300,700
2020120400,728
2020120500,627
2020120600,663
2020120700,805
2020120800,733
2020120900,646
2020121000,687
2020121100,746
2020121200,697
2020121300,666
2020121400,976
2020121500,723
2020121600,639
2020121700,631
2020121800,778
2020121900,701
2020122000,720
2020122100,785
2020122200,795
2020122300,674
2020122400,586
2020122500,579
2020122600,619
2020122700,675
2020122800,694
2020122900,696
2020123000,719
2020123100,700
