timestamp,pageview
2020050400,1722
2020050500,2067
2020050600,2063
2020050700,1975
2020050800,2130
2020050900,2790
2020051000,2706
2020051100,2597
2020051200,2503
2020051300,2461
2020051400,2190
2020051500,2099
2020051600,2037
2020051700,2315
2020051800,2421
2020051900,2132
2020052000,2326
2020052100,1983
2020052200,1940
2020052300,2006
2020052400,2043
2020052500,2100
2020052600,2089
2020052700,1787
2020052800,1899
2020052900,1669
2020053000,1504
2020053100,1604
2020060100,1544
2020060200,1632
2020060300,1545
2020060400,1522
2020060500,1396
2020060600,1332
2020060700,1653
2020060800,1593
2020060900,1595
2020061000,1541
2020061100,1509
2020061200,1426
2020061300,1250
2020061400,1408
2020061500,1493
2020061600,1386
2020061700,1505
2020061800,1814
2020061900,1822
2020062000,1956
2020062100,2038
2020062200,2183
2020062300,2822
2020062400,2445
2020062500,3167
2020062600,3062
2020062700,2792
2020062800,2902
2020062900,2865
2020063000,2810
2020070100,2569
2020070200,2796
2020070300,2940
2020070400,2913
2020070500,2890
2020070600,3202
2020070700,3502
2020070800,3329
2020070900,3294
2020071000,3446
2020071100,3183
2020071200,3464
2020071300,3685
2020071400,3230
2020071500,3272
2020071600,3071
2020071700,3109
2020071800,2768
2020071900,2713
2020072000,2692
2020072100,3020
2020072200,3126
2020072300,2742
2020072400,2548
2020072500,2377
2020072600,2321
2020072700,2603
2020072800,2524
2020072900,2296
2020073000,2206
2020073100,1953
2020080100,1566
2020080200,1669
2020080300,1801
2020080400,1737
2020080500,1711
2020080600,1659
2020080700,1609
2020080800,1444
2020080900,1602
2020081000,1779
2020081100,1678
2020081200,1833
2020081300,2329
2020081400,3348
2020081500,2683
2020081600,2597
2020081700,3309
2020081800,3149
2020081900,2866
2020082000,3559
2020082100,2906
2020082200,2476
2020082300,2340
2020082400,2394
2020082500,2336
2020082600,2405
2020082700,2341
2020082800,2154
2020082900,1701
2020083000,1592
2020083100,1820
2020090100,1694
2020090200,1894
2020090300,1751
2020090400,1601
2020090500,1214
2020090600,1339
2020090700,1433
2020090800,1401
2020090900,1368
2020091000,1367
2020091100,1296
2020091200,1195
2020091300,1193
2020091400,1322
2020091500,1099
2020091600,1178
2020091700,1178
2020091800,1076
2020091900,892
2020092000,933
2020092100,952
2020092200,1025
2020092300,1088
2020092400,999
2020092500,954
2020092600,838
2020092700,822
2020092800,979
2020092900,873
2020093000,866
2020100100,860
2020100200,900
2020100300,712
2020100400,789
2020100500,875
2020100600,846
2020100700,828
2020100800,1073
2020100900,868
2020101000,802
2020101100,887
2020101200,883
2020101300,857
2020101400,1233
2020101500,1185
2020101600,1407
2020101700,1041
2020101800,1014
2020101900,1085
2020102000,1035
2020102100,1181
2020102200,1243
2020102300,1176
2020102400,1138
2020102500,1489
2020102600,1255
2020102700,1240
2020102800,1597
2020102900,1116
2020103000,1078
2020103100,1000
2020110100,997
2020110200,1001
2020110300,949
2020110400,985
2020110500,933
2020110600,966
2020110700,855
2020110800,847
2020110900,939
2020111000,902
2020111100,997
2020111200,973
2020111300,869
2020111400,904
2020111500,886
2020111600,918
2020111700,863
2020111800,928
2020111900,891
2020112000,850
2020112100,815
2020112200,995
2020112300,1043
2020112400,851
2020112500,900
2020112600,1035
2020112700,899
2020112800,764
2020112900,824
2020113000,925
2020120100,933
2020120200,891
2020120300,954
2020120400,881
2020120500,868
2020120600,884
2020120700,792
2020120800,861
2020120900,820
2020121000,831
2020121100,743
2020121200,802
2020121300,779
2020121400,789
2020121500,789
2020121600,817
2020121700,770
2020121800,785
2020121900,748
2020122000,812
2020122100,898
2020122200,865
2020122300,786
2020122400,642
2020122500,663
2020122600,691
2020122700,726
2020122800,778
2020122900,785
2020123000,779
2020123100,636
