timestamp,pageview
2020050400,2575
2020050500,2415
2020050600,2170
2020050700,2166
2020050800,2225
2020050900,2645
2020051000,2305
2020051100,2133
2020051200,1883
2020051300,1947
2020051400,1764
2020051500,1566
2020051600,1617
2020051700,1606
2020051800,1600
2020051900,1936
2020052000,1790
2020052100,1768
2020052200,1748
2020052300,1736
2020052400,1743
2020052500,1901
2020052600,1857
2020052700,1807
2020052800,2723
2020052900,2500
2020053000,2499
2020053100,2290
2020060100,2208
2020060200,2035
2020060300,1821
2020060400,1936
2020060500,1978
2020060600,1919
2020060700,2088
2020060800,2155
2020060900,2601
2020061000,2845
2020061100,2920
2020061200,2741
2020061300,2856
2020061400,2655
2020061500,2311
2020061600,2319
2020061700,2127
2020061800,1993
2020061900,1938
2020062000,1822
2020062100,1845
2020062200,1719
2020062300,1673
2020062400,1681
2020062500,1846
2020062600,1769
2020062700,1852
2020062800,1891
2020062900,2023
2020063000,1804
2020070100,1869
2020070200,1840
2020070300,1678
2020070400,1626
2020070500,1683
2020070600,1694
2020070700,1708
2020070800,1863
2020070900,1946
2020071000,1927
2020071100,2249
2020071200,2366
2020071300,2506
2020071400,2245
2020071500,2388
2020071600,2176
2020071700,2364
2020071800,2329
2020071900,2598
2020072000,2671
2020072100,2948
2020072200,2526
2020072300,2697
2020072400,2685
2020072500,2351
2020072600,2637
2020072700,2696
2020072800,2444
2020072900,2451
2020073000,2151
2020073100,1662
2020080100,1600
2020080200,1418
2020080300,1661
2020080400,1795
2020080500,1558
2020080600,1536
2020080700,1903
2020080800,1816
2020080900,1682
2020081000,1825
2020081100,1703
2020081200,1398
2020081300,1411
2020081400,1082
2020081500,860
2020081600,1045
2020081700,1175
2020081800,1117
2020081900,950
2020082000,959
2020082100,1007
2020082200,911
2020082300,828
2020082400,900
2020082500,855
2020082600,789
2020082700,927
2020082800,917
2020082900,848
2020083000,735
2020083100,773
2020090100,704
2020090200,716
2020090300,823
2020090400,707
2020090500,685
2020090600,753
2020090700,758
2020090800,684
2020090900,676
2020091000,839
2020091100,726
2020091200,862
2020091300,625
2020091400,621
2020091500,612
2020091600,772
2020091700,551
2020091800,465
2020091900,494
2020092000,644
2020092100,484
2020092200,762
2020092300,416
2020092400,426
2020092500,611
2020092600,498
2020092700,379
2020092800,413
2020092900,444
2020093000,639
2020100100,666
2020100200,452
2020100300,366
2020100400,342
2020100500,405
2020100600,352
2020100700,369
2020100800,308
2020100900,274
2020101000,297
2020101100,300
2020101200,337
2020101300,327
2020101400,275
2020101500,328
2020101600,278
2020101700,224
2020101800,272
2020101900,231
2020102000,321
2020102100,322
2020102200,316
2020102300,268
2020102400,265
2020102500,208
2020102600,276
2020102700,327
2020102800,405
2020102900,400
2020103000,386
2020103100,428
2020110100,386
2020110200,386
2020110300,372
2020110400,571
2020110500,398
2020110600,479
2020110700,459
2020110800,421
2020110900,519
2020111000,459
2020111100,526
2020111200,457
2020111300,433
2020111400,262
2020111500,445
2020111600,526
2020111700,828
2020111800,1037
2020111900,1085
2020112000,1048
2020112100,800
2020112200,752
2020112300,971
2020112400,540
2020112500,469
2020112600,324
2020112700,350
2020112800,386
2020112900,400
2020113000,494
2020120100,400
2020120200,454
2020120300,335
2020120400,272
2020120500,278
2020120600,325
2020120700,314
2020120800,324
2020120900,338
2020121000,292
2020121100,294
2020121200,285
2020121300,340
2020121400,334
2020121500,407
2020121600,356
2020121700,343
2020121800,434
2020121900,326
2020122000,296
2020122100,316
2020122200,398
2020122300,344
2020122400,231
2020122500,199
2020122600,251
2020122700,253
2020122800,274
2020122900,309
2020123000,324
2020123100,215
