timestamp,pageview
2020050400,12088
2020050500,10282
2020050600,9775
2020050700,9786
2020050800,9592
2020050900,10727
2020051000,8842
2020051100,8003
2020051200,6804
2020051300,7057
2020051400,6695
2020051500,6148
2020051600,7107
2020051700,7156
2020051800,6752
2020051900,6018
2020052000,5344
2020052100,4964
2020052200,4820
2020052300,4887
2020052400,4557
2020052500,4643
2020052600,5129
2020052700,5321
2020052800,4846
2020052900,5134
2020053000,4647
2020053100,4227
2020060100,4169
2020060200,3775
2020060300,3546
2020060400,3316
2020060500,3174
2020060600,3210
2020060700,3163
2020060800,2977
2020060900,2713
2020061000,2935
2020061100,2841
2020061200,2968
2020061300,2474
2020061400,2271
2020061500,2237
2020061600,2096
2020061700,1936
2020061800,1818
2020061900,1679
2020062000,1659
2020062100,1724
2020062200,2062
2020062300,1729
2020062400,1725
2020062500,1573
2020062600,1680
2020062700,1531
2020062800,1423
2020062900,1439
2020063000,1442
2020070100,1442
2020070200,1602
2020070300,1595
2020070400,1588
2020070500,1505
2020070600,1536
2020070700,1504
2020070800,1431
2020070900,1430
2020071000,1327
2020071100,1688
2020071200,1538
2020071300,1575
2020071400,1505
2020071500,1463
2020071600,1385
2020071700,1522
2020071800,1337
2020071900,1563
2020072000,1293
2020072100,1185
2020072200,1218
2020072300,1367
2020072400,1427
2020072500,1161
2020072600,1076
2020072700,1183
2020072800,1561
2020072900,1677
2020073000,1068
2020073100,912
2020080100,800
2020080200,744
2020080300,652
2020080400,955
2020080500,828
2020080600,883
2020080700,817
2020080800,815
2020080900,907
2020081000,943
2020081100,1483
2020081200,866
2020081300,859
2020081400,725
2020081500,637
2020081600,685
2020081700,708
2020081800,698
2020081900,622
2020082000,680
2020082100,593
2020082200,501
2020082300,640
2020082400,622
2020082500,613
2020082600,560
2020082700,568
2020082800,546
2020082900,506
2020083000,540
2020083100,632
2020090100,484
2020090200,560
2020090300,526
2020090400,537
2020090500,469
2020090600,470
2020090700,521
2020090800,453
2020090900,447
2020091000,528
2020091100,568
2020091200,587
2020091300,411
2020091400,508
2020091500,445
2020091600,500
2020091700,436
2020091800,486
2020091900,421
2020092000,635
2020092100,516
2020092200,707
2020092300,432
2020092400,425
2020092500,640
2020092600,341
2020092700,288
2020092800,434
2020092900,380
2020093000,573
2020100100,647
2020100200,450
2020100300,285
2020100400,317
2020100500,303
2020100600,355
2020100700,338
2020100800,347
2020100900,326
2020101000,332
2020101100,236
2020101200,363
2020101300,315
2020101400,370
2020101500,301
2020101600,366
2020101700,258
2020101800,257
2020101900,312
2020102000,331
2020102100,318
2020102200,286
2020102300,297
2020102400,237
2020102500,259
2020102600,310
2020102700,328
2020102800,287
2020102900,327
2020103000,279
2020103100,273
2020110100,244
2020110200,354
2020110300,294
2020110400,259
2020110500,274
2020110600,302
2020110700,216
2020110800,170
2020110900,260
2020111000,249
2020111100,215
2020111200,244
2020111300,186
2020111400,202
2020111500,200
2020111600,275
2020111700,386
2020111800,438
2020111900,648
2020112000,701
2020112100,629
2020112200,749
2020112300,801
2020112400,512
2020112500,404
2020112600,387
2020112700,262
2020112800,230
2020112900,255
2020113000,258
2020120100,269
2020120200,212
2020120300,188
2020120400,183
2020120500,159
2020120600,166
2020120700,169
2020120800,214
2020120900,198
2020121000,170
2020121100,243
2020121200,250
2020121300,197
2020121400,201
2020121500,199
2020121600,297
2020121700,213
2020121800,284
2020121900,187
2020122000,191
2020122100,213
2020122200,298
2020122300,212
2020122400,213
2020122500,174
2020122600,196
2020122700,229
2020122800,273
2020122900,237
2020123000,331
2020123100,243
