timestamp,pageview
2020061600,61
2020061700,264
2020061800,115
2020061900,19
2020062000,5
2020062100,8
2020062200,346
2020062300,173
2020062400,77
2020062500,11
2020062600,136
2020062700,18
2020062800,12
2020062900,38
2020063000,44
2020070100,12
2020070200,129
2020070300,19
2020070400,26
2020070500,13
2020070600,42
2020070700,17
2020070800,68
2020070900,83
2020071000,30
2020071100,100
2020071200,56
2020071300,36
2020071400,30
2020071500,38
2020071600,31
2020071700,46
2020071800,20
2020071900,205
2020072000,75
2020072100,73
2020072200,38
2020072300,31
2020072400,47
2020072500,42
2020072600,55
2020072700,45
2020072800,68
2020072900,26
2020073000,40
2020073100,28
2020080100,49
2020080200,38
2020080300,170
2020080400,72
2020080500,83
2020080600,68
2020080700,40
2020080800,30
2020080900,40
2020081000,26
2020081100,36
2020081200,45
2020081300,81
2020081400,31
2020081500,98
2020081600,54
2020081700,37
2020081800,24
2020081900,29
2020082000,45
2020082100,57
2020082200,34
2020082300,30
2020082400,25
2020082500,28
2020082600,36
2020082700,27
2020082800,21
2020082900,34
2020083000,24
2020083100,27
2020090100,26
2020090200,29
2020090300,27
2020090400,19
2020090500,22
2020090600,31
2020090700,25
2020090800,28
2020090900,32
2020091000,46
2020091100,26
2020091200,42
2020091300,35
2020091400,30
2020091500,38
2020091600,19
2020091700,33
2020091800,33
2020091900,23
2020092000,52
2020092100,30
2020092200,38
2020092300,27
2020092400,39
2020092500,44
2020092600,65
2020092700,62
2020092800,89
2020092900,54
2020093000,107
2020100100,129
2020100200,84
2020100300,103
2020100400,142
2020100500,172
2020100600,185
2020100700,152
2020100800,115
2020100900,113
2020101000,82
2020101100,82
2020101200,83
2020101300,161
2020101400,120
2020101500,83
2020101600,118
2020101700,99
2020101800,93
2020101900,74
2020102000,71
2020102100,107
2020102200,67
2020102300,71
2020102400,147
2020102500,176
2020102600,162
2020102700,142
2020102800,102
2020102900,113
2020103000,243
2020103100,129
2020110100,113
2020110200,114
2020110300,80
2020110400,80
2020110500,74
2020110600,136
2020110700,113
2020110800,92
2020110900,101
2020111000,71
2020111100,61
2020111200,73
2020111300,61
2020111400,67
2020111500,75
2020111600,77
2020111700,93
2020111800,109
2020111900,119
2020112000,68
2020112100,122
2020112200,217
2020112300,326
2020112400,104
2020112500,106
2020112600,126
2020112700,79
2020112800,97
2020112900,83
2020113000,101
2020120100,120
2020120200,155
2020120300,107
2020120400,116
2020120500,80
2020120600,121
2020120700,115
2020120800,124
2020120900,87
2020121000,78
2020121100,66
2020121200,73
2020121300,74
2020121400,65
2020121500,72
2020121600,67
2020121700,84
2020121800,102
2020121900,53
2020122000,88
2020122100,129
2020122200,94
2020122300,68
2020122400,45
2020122500,94
2020122600,224
2020122700,104
2020122800,71
2020122900,71
2020123000,195
2020123100,99
