timestamp,pageview
2020050400,26358
2020050500,24234
2020050600,20042
2020050700,19293
2020050800,19724
2020050900,17753
2020051000,16734
2020051100,17801
2020051200,18991
2020051300,16064
2020051400,15859
2020051500,17357
2020051600,14862
2020051700,14316
2020051800,17313
2020051900,17411
2020052000,13946
2020052100,13809
2020052200,13107
2020052300,13293
2020052400,12671
2020052500,12744
2020052600,12386
2020052700,11135
2020052800,10755
2020052900,10258
2020053000,10119
2020053100,9423
2020060100,8846
2020060200,9366
2020060300,7722
2020060400,7206
2020060500,7176
2020060600,7304
2020060700,6685
2020060800,6770
2020060900,6972
2020061000,7971
2020061100,6948
2020061200,6607
2020061300,6372
2020061400,5621
2020061500,5678
2020061600,5080
2020061700,4737
2020061800,4805
2020061900,5233
2020062000,5071
2020062100,5289
2020062200,5953
2020062300,5307
2020062400,5307
2020062500,5045
2020062600,5006
2020062700,6493
2020062800,7266
2020062900,8500
2020063000,5340
2020070100,5458
2020070200,4922
2020070300,4616
2020070400,4739
2020070500,5072
2020070600,5088
2020070700,4724
2020070800,4487
2020070900,3976
2020071000,3585
2020071100,3895
2020071200,4010
2020071300,3835
2020071400,3529
2020071500,3813
2020071600,4170
2020071700,4014
2020071800,4306
2020071900,4356
2020072000,3814
2020072100,3773
2020072200,3485
2020072300,3121
2020072400,2607
2020072500,2410
2020072600,2616
2020072700,2566
2020072800,2632
2020072900,2285
2020073000,1920
2020073100,1698
2020080100,1827
2020080200,1997
2020080300,1979
2020080400,2192
2020080500,1886
2020080600,1923
2020080700,1748
2020080800,1626
2020080900,1796
2020081000,1747
2020081100,1592
2020081200,1367
2020081300,1548
2020081400,1269
2020081500,1132
2020081600,1219
2020081700,1421
2020081800,1246
2020081900,1284
2020082000,1396
2020082100,1075
2020082200,936
2020082300,1150
2020082400,1248
2020082500,1107
2020082600,1144
2020082700,1041
2020082800,899
2020082900,891
2020083000,857
2020083100,926
2020090100,864
2020090200,866
2020090300,807
2020090400,761
2020090500,746
2020090600,829
2020090700,1004
2020090800,1000
2020090900,844
2020091000,810
2020091100,761
2020091200,958
2020091300,796
2020091400,872
2020091500,747
2020091600,1129
2020091700,822
2020091800,719
2020091900,681
2020092000,1032
2020092100,706
2020092200,982
2020092300,772
2020092400,870
2020092500,850
2020092600,639
2020092700,532
2020092800,649
2020092900,678
2020093000,896
2020100100,928
2020100200,792
2020100300,508
2020100400,542
2020100500,586
2020100600,649
2020100700,647
2020100800,621
2020100900,589
2020101000,692
2020101100,616
2020101200,649
2020101300,590
2020101400,573
2020101500,547
2020101600,486
2020101700,482
2020101800,517
2020101900,610
2020102000,624
2020102100,582
2020102200,515
2020102300,544
2020102400,393
2020102500,453
2020102600,589
2020102700,704
2020102800,583
2020102900,607
2020103000,537
2020103100,622
2020110100,609
2020110200,762
2020110300,582
2020110400,550
2020110500,615
2020110600,533
2020110700,528
2020110800,543
2020110900,536
2020111000,463
2020111100,428
2020111200,421
2020111300,347
2020111400,332
2020111500,395
2020111600,377
2020111700,476
2020111800,433
2020111900,511
2020112000,403
2020112100,335
2020112200,517
2020112300,650
2020112400,414
2020112500,344
2020112600,373
2020112700,279
2020112800,306
2020112900,266
2020113000,365
2020120100,304
2020120200,301
2020120300,310
2020120400,293
2020120500,223
2020120600,245
2020120700,354
2020120800,356
2020120900,323
2020121000,340
2020121100,232
2020121200,247
2020121300,202
2020121400,259
2020121500,326
2020121600,241
2020121700,281
2020121800,288
2020121900,272
2020122000,245
2020122100,277
2020122200,409
2020122300,348
2020122400,294
2020122500,236
2020122600,294
2020122700,302
2020122800,298
2020122900,374
2020123000,365
2020123100,302
