timestamp,pageview
2020050400,1026
2020050500,1538
2020050600,1477
2020050700,1476
2020050800,1391
2020050900,1051
2020051000,1672
2020051100,1699
2020051200,1513
2020051300,1455
2020051400,1452
2020051500,2102
2020051600,1773
2020051700,2002
2020051800,2020
2020051900,1949
2020052000,2265
2020052100,2699
2020052200,2372
2020052300,2071
2020052400,2267
2020052500,2660
2020052600,2602
2020052700,2676
2020052800,2749
2020052900,2528
2020053000,2382
2020053100,2518
2020060100,2890
2020060200,2679
2020060300,3013
2020060400,2892
2020060500,2581
2020060600,2621
2020060700,2782
2020060800,3429
2020060900,3085
2020061000,3154
2020061100,3069
2020061200,2739
2020061300,2478
2020061400,2627
2020061500,2835
2020061600,2831
2020061700,2607
2020061800,3027
2020061900,2965
2020062000,2735
2020062100,2610
2020062200,2977
2020062300,2662
2020062400,2455
2020062500,2536
2020062600,2663
2020062700,2647
2020062800,2938
2020062900,3312
2020063000,3537
2020070100,2754
2020070200,2637
2020070300,2785
2020070400,2407
2020070500,2208
2020070600,2492
2020070700,2531
2020070800,2482
2020070900,2357
2020071000,1995
2020071100,1724
2020071200,1796
2020071300,2031
2020071400,1848
2020071500,1608
2020071600,1487
2020071700,1436
2020071800,1313
2020071900,1479
2020072000,1286
2020072100,1299
2020072200,1235
2020072300,1179
2020072400,1199
2020072500,1226
2020072600,1129
2020072700,1257
2020072800,1148
2020072900,1064
2020073000,1178
2020073100,1191
2020080100,993
2020080200,1116
2020080300,1288
2020080400,1074
2020080500,1034
2020080600,985
2020080700,906
2020080800,783
2020080900,965
2020081000,927
2020081100,923
2020081200,858
2020081300,835
2020081400,800
2020081500,726
2020081600,754
2020081700,721
2020081800,744
2020081900,662
2020082000,699
2020082100,636
2020082200,547
2020082300,586
2020082400,607
2020082500,573
2020082600,560
2020082700,610
2020082800,530
2020082900,473
2020083000,457
2020083100,502
2020090100,457
2020090200,450
2020090300,469
2020090400,416
2020090500,424
2020090600,623
2020090700,681
2020090800,607
2020090900,514
2020091000,375
2020091100,522
2020091200,456
2020091300,522
2020091400,445
2020091500,443
2020091600,526
2020091700,649
2020091800,694
2020091900,500
2020092000,610
2020092100,692
2020092200,540
2020092300,488
2020092400,492
2020092500,475
2020092600,411
2020092700,499
2020092800,463
2020092900,429
2020093000,397
2020100100,355
2020100200,300
2020100300,292
2020100400,346
2020100500,425
2020100600,379
2020100700,361
2020100800,368
2020100900,410
2020101000,323
2020101100,379
2020101200,469
2020101300,349
2020101400,348
2020101500,545
2020101600,348
2020101700,286
2020101800,292
2020101900,386
2020102000,392
2020102100,398
2020102200,332
2020102300,275
2020102400,222
2020102500,208
2020102600,282
2020102700,276
2020102800,277
2020102900,298
2020103000,247
2020103100,328
2020110100,292
2020110200,255
2020110300,192
2020110400,196
2020110500,231
2020110600,206
2020110700,164
2020110800,234
2020110900,267
2020111000,212
2020111100,258
2020111200,216
2020111300,173
2020111400,148
2020111500,195
2020111600,202
2020111700,229
2020111800,205
2020111900,241
2020112000,201
2020112100,161
2020112200,345
2020112300,478
2020112400,197
2020112500,227
2020112600,245
2020112700,164
2020112800,160
2020112900,170
2020113000,217
2020120100,171
2020120200,186
2020120300,172
2020120400,159
2020120500,164
2020120600,154
2020120700,216
2020120800,201
2020120900,204
2020121000,306
2020121100,195
2020121200,166
2020121300,204
2020121400,426
2020121500,273
2020121600,197
2020121700,193
2020121800,222
2020121900,444
2020122000,535
2020122100,492
2020122200,387
2020122300,322
2020122400,242
2020122500,169
2020122600,254
2020122700,252
2020122800,273
2020122900,303
2020123000,356
2020123100,258
