timestamp,pageview
2020050400,3012
2020050500,3716
2020050600,4372
2020050700,3788
2020050800,3723
2020050900,3701
2020051000,3737
2020051100,3950
2020051200,4147
2020051300,4117
2020051400,3552
2020051500,3734
2020051600,2818
2020051700,2782
2020051800,3306
2020051900,3101
2020052000,2649
2020052100,2625
2020052200,2631
2020052300,2448
2020052400,2316
2020052500,2333
2020052600,2597
2020052700,2633
2020052800,2604
2020052900,2229
2020053000,2157
2020053100,1984
2020060100,2360
2020060200,2842
2020060300,2362
2020060400,3093
2020060500,2052
2020060600,1967
2020060700,1761
2020060800,2271
2020060900,2332
2020061000,2351
2020061100,2248
2020061200,1941
2020061300,1629
2020061400,1652
2020061500,2138
2020061600,2116
2020061700,2279
2020061800,2051
2020061900,1653
2020062000,1553
2020062100,1554
2020062200,1834
2020062300,2037
2020062400,1796
2020062500,1835
2020062600,1696
2020062700,1644
2020062800,1796
2020062900,1780
2020063000,1999
2020070100,1839
2020070200,2025
2020070300,1628
2020070400,1463
2020070500,1524
2020070600,1521
2020070700,1707
2020070800,1604
2020070900,1473
2020071000,1791
2020071100,1395
2020071200,1425
2020071300,1619
2020071400,1731
2020071500,1501
2020071600,1480
2020071700,1436
2020071800,1239
2020071900,1627
2020072000,1393
2020072100,1317
2020072200,1380
2020072300,1346
2020072400,1439
2020072500,1151
2020072600,1295
2020072700,1439
2020072800,1315
2020072900,1208
2020073000,1288
2020073100,1263
2020080100,1221
2020080200,1220
2020080300,1385
2020080400,1124
2020080500,1203
2020080600,1107
2020080700,1204
2020080800,1220
2020080900,1031
2020081000,1166
2020081100,1054
2020081200,971
2020081300,1214
2020081400,870
2020081500,810
2020081600,877
2020081700,1239
2020081800,908
2020081900,924
2020082000,989
2020082100,977
2020082200,858
2020082300,754
2020082400,931
2020082500,837
2020082600,946
2020082700,904
2020082800,647
2020082900,735
2020083000,792
2020083100,809
2020090100,762
2020090200,683
2020090300,864
2020090400,746
2020090500,573
2020090600,677
2020090700,670
2020090800,661
2020090900,698
2020091000,719
2020091100,734
2020091200,524
2020091300,586
2020091400,765
2020091500,695
2020091600,750
2020091700,838
2020091800,700
2020091900,663
2020092000,823
2020092100,766
2020092200,789
2020092300,902
2020092400,933
2020092500,630
2020092600,598
2020092700,544
2020092800,820
2020092900,895
2020093000,790
2020100100,928
2020100200,1127
2020100300,1164
2020100400,1265
2020100500,1203
2020100600,1095
2020100700,1118
2020100800,1235
2020100900,850
2020101000,731
2020101100,812
2020101200,847
2020101300,862
2020101400,886
2020101500,1405
2020101600,1103
2020101700,930
2020101800,809
2020101900,925
2020102000,1068
2020102100,1203
2020102200,1258
2020102300,2125
2020102400,1701
2020102500,1223
2020102600,1764
2020102700,1540
2020102800,1601
2020102900,1752
2020103000,1711
2020103100,1247
2020110100,1360
2020110200,2531
2020110300,2431
2020110400,1208
2020110500,995
2020110600,1581
2020110700,1545
2020110800,1311
2020110900,1072
2020111000,905
2020111100,1403
2020111200,1812
2020111300,1888
2020111400,1736
2020111500,1684
2020111600,1732
2020111700,1529
2020111800,1655
2020111900,1649
2020112000,1713
2020112100,1837
2020112200,1925
2020112300,1708
2020112400,1145
2020112500,1132
2020112600,854
2020112700,1072
2020112800,1149
2020112900,1186
2020113000,1271
2020120100,1112
2020120200,1035
2020120300,1492
2020120400,1347
2020120500,974
2020120600,1064
2020120700,1297
2020120800,1819
2020120900,1534
2020121000,1133
2020121100,1158
2020121200,994
2020121300,988
2020121400,1166
2020121500,1088
2020121600,866
2020121700,758
2020121800,966
2020121900,707
2020122000,637
2020122100,647
2020122200,760
2020122300,693
2020122400,530
2020122500,452
2020122600,544
2020122700,702
2020122800,626
2020122900,609
2020123000,627
2020123100,622
