timestamp,pageview
2020050400,1978
2020050500,2528
2020050600,2214
2020050700,2884
2020050800,2709
2020050900,3897
2020051000,3507
2020051100,3858
2020051200,3232
2020051300,2345
2020051400,2262
2020051500,2119
2020051600,1889
2020051700,2090
2020051800,2263
2020051900,1774
2020052000,1794
2020052100,1888
2020052200,1764
2020052300,1423
2020052400,1634
2020052500,1610
2020052600,1879
2020052700,1827
2020052800,2273
2020052900,1824
2020053000,1644
2020053100,1647
2020060100,1489
2020060200,1357
2020060300,1192
2020060400,1194
2020060500,1120
2020060600,973
2020060700,1041
2020060800,1155
2020060900,1101
2020061000,1216
2020061100,1270
2020061200,1095
2020061300,1253
2020061400,1412
2020061500,1570
2020061600,1486
2020061700,1260
2020061800,1259
2020061900,1130
2020062000,1034
2020062100,979
2020062200,1092
2020062300,1326
2020062400,1177
2020062500,1066
2020062600,929
2020062700,803
2020062800,857
2020062900,1066
2020063000,1004
2020070100,993
2020070200,755
2020070300,770
2020070400,657
2020070500,779
2020070600,1054
2020070700,922
2020070800,1053
2020070900,871
2020071000,721
2020071100,556
2020071200,564
2020071300,910
2020071400,818
2020071500,740
2020071600,829
2020071700,752
2020071800,622
2020071900,779
2020072000,873
2020072100,849
2020072200,879
2020072300,845
2020072400,742
2020072500,693
2020072600,713
2020072700,749
2020072800,724
2020072900,705
2020073000,754
2020073100,708
2020080100,579
2020080200,860
2020080300,899
2020080400,700
2020080500,549
2020080600,599
2020080700,500
2020080800,411
2020080900,461
2020081000,640
2020081100,617
2020081200,572
2020081300,616
2020081400,569
2020081500,477
2020081600,460
2020081700,550
2020081800,474
2020081900,451
2020082000,449
2020082100,426
2020082200,378
2020082300,392
2020082400,468
2020082500,410
2020082600,453
2020082700,404
2020082800,426
2020082900,380
2020083000,381
2020083100,388
2020090100,409
2020090200,385
2020090300,471
2020090400,423
2020090500,351
2020090600,355
2020090700,463
2020090800,399
2020090900,437
2020091000,432
2020091100,332
2020091200,398
2020091300,350
2020091400,438
2020091500,426
2020091600,336
2020091700,402
2020091800,365
2020091900,345
2020092000,336
2020092100,356
2020092200,431
2020092300,433
2020092400,423
2020092500,346
2020092600,292
2020092700,380
2020092800,427
2020092900,492
2020093000,441
2020100100,374
2020100200,386
2020100300,361
2020100400,334
2020100500,453
2020100600,541
2020100700,627
2020100800,614
2020100900,546
2020101000,382
2020101100,485
2020101200,500
2020101300,478
2020101400,489
2020101500,523
2020101600,562
2020101700,533
2020101800,511
2020101900,526
2020102000,612
2020102100,527
2020102200,545
2020102300,493
2020102400,449
2020102500,404
2020102600,580
2020102700,589
2020102800,544
2020102900,476
2020103000,466
2020103100,342
2020110100,325
2020110200,515
2020110300,511
2020110400,412
2020110500,489
2020110600,420
2020110700,341
2020110800,392
2020110900,483
2020111000,445
2020111100,365
2020111200,260
2020111300,337
2020111400,349
2020111500,410
2020111600,360
2020111700,371
2020111800,421
2020111900,444
2020112000,348
2020112100,323
2020112200,526
2020112300,647
2020112400,379
2020112500,426
2020112600,422
2020112700,343
2020112800,318
2020112900,294
2020113000,440
2020120100,358
2020120200,315
2020120300,391
2020120400,269
2020120500,276
2020120600,297
2020120700,312
2020120800,285
2020120900,346
2020121000,285
2020121100,241
2020121200,266
2020121300,250
2020121400,357
2020121500,360
2020121600,314
2020121700,289
2020121800,329
2020121900,222
2020122000,214
2020122100,197
2020122200,216
2020122300,205
2020122400,150
2020122500,184
2020122600,174
2020122700,171
2020122800,200
2020122900,193
2020123000,151
2020123100,117
