timestamp,pageview
2020050400,7594
2020050500,9634
2020050600,9705
2020050700,5558
2020050800,4947
2020050900,5176
2020051000,4404
2020051100,8634
2020051200,15858
2020051300,16560
2020051400,12057
2020051500,10606
2020051600,12207
2020051700,11333
2020051800,13428
2020051900,13698
2020052000,11435
2020052100,9741
2020052200,9274
2020052300,8402
2020052400,7078
2020052500,8997
2020052600,7075
2020052700,7424
2020052800,8858
2020052900,8084
2020053000,7552
2020053100,7850
2020060100,6480
2020060200,6639
2020060300,5589
2020060400,5551
2020060500,5182
2020060600,5245
2020060700,4941
2020060800,5033
2020060900,4690
2020061000,4501
2020061100,4240
2020061200,4413
2020061300,3816
2020061400,3890
2020061500,4958
2020061600,3812
2020061700,3492
2020061800,3857
2020061900,3712
2020062000,3093
2020062100,3118
2020062200,3124
2020062300,2904
2020062400,2704
2020062500,2574
2020062600,2327
2020062700,2181
2020062800,2319
2020062900,2440
2020063000,2358
2020070100,2322
2020070200,2733
2020070300,2486
2020070400,2353
2020070500,2378
2020070600,2675
2020070700,2739
2020070800,2466
2020070900,2475
2020071000,2066
2020071100,2087
2020071200,2734
2020071300,2201
2020071400,2065
2020071500,2122
2020071600,2023
2020071700,2008
2020071800,1972
2020071900,2275
2020072000,2125
2020072100,1948
2020072200,1870
2020072300,1664
2020072400,1586
2020072500,1565
2020072600,1706
2020072700,1908
2020072800,1889
2020072900,1738
2020073000,1706
2020073100,1564
2020080100,1501
2020080200,1605
2020080300,1541
2020080400,1797
2020080500,1694
2020080600,1934
2020080700,1629
2020080800,1516
2020080900,1556
2020081000,1552
2020081100,1565
2020081200,1606
2020081300,1684
2020081400,1533
2020081500,1376
2020081600,1711
2020081700,1739
2020081800,2019
2020081900,1714
2020082000,1673
2020082100,1507
2020082200,1659
2020082300,1687
2020082400,1613
2020082500,1711
2020082600,1531
2020082700,1500
2020082800,1383
2020082900,1318
2020083000,1370
2020083100,1707
2020090100,1461
2020090200,1495
2020090300,1443
2020090400,1480
2020090500,1368
2020090600,1450
2020090700,1440
2020090800,1467
2020090900,1304
2020091000,1447
2020091100,1295
2020091200,1284
2020091300,1344
2020091400,1059
2020091500,1108
2020091600,1265
2020091700,1226
2020091800,1155
2020091900,991
2020092000,1170
2020092100,912
2020092200,977
2020092300,882
2020092400,1116
2020092500,974
2020092600,1018
2020092700,981
2020092800,1066
2020092900,1063
2020093000,1068
2020100100,948
2020100200,1060
2020100300,1123
2020100400,1458
2020100500,1581
2020100600,1065
2020100700,1085
2020100800,1060
2020100900,958
2020101000,1039
2020101100,1113
2020101200,1075
2020101300,1038
2020101400,1087
2020101500,1190
2020101600,1076
2020101700,1039
2020101800,928
2020101900,1081
2020102000,872
2020102100,910
2020102200,771
2020102300,706
2020102400,726
2020102500,835
2020102600,924
2020102700,708
2020102800,2065
2020102900,752
2020103000,783
2020103100,734
2020110100,748
2020110200,897
2020110300,877
2020110400,920
2020110500,837
2020110600,878
2020110700,835
2020110800,868
2020110900,907
2020111000,856
2020111100,752
2020111200,803
2020111300,677
2020111400,604
2020111500,612
2020111600,660
2020111700,665
2020111800,749
2020111900,811
2020112000,762
2020112100,726
2020112200,928
2020112300,1531
2020112400,992
2020112500,704
2020112600,745
2020112700,693
2020112800,612
2020112900,646
2020113000,649
2020120100,733
2020120200,770
2020120300,837
2020120400,708
2020120500,586
2020120600,716
2020120700,686
2020120800,716
2020120900,617
2020121000,689
2020121100,581
2020121200,456
2020121300,667
2020121400,787
2020121500,679
2020121600,616
2020121700,665
2020121800,506
2020121900,468
2020122000,572
2020122100,491
2020122200,724
2020122300,675
2020122400,611
2020122500,520
2020122600,602
2020122700,687
2020122800,654
2020122900,773
2020123000,655
2020123100,640
