timestamp,pageview
2020050400,5828
2020050500,8510
2020050600,7810
2020050700,7356
2020050800,5854
2020050900,6212
2020051000,7097
2020051100,8523
2020051200,7690
2020051300,8016
2020051400,8860
2020051500,6588
2020051600,5714
2020051700,6580
2020051800,7075
2020051900,7257
2020052000,7316
2020052100,6866
2020052200,5513
2020052300,4999
2020052400,5699
2020052500,6630
2020052600,6021
2020052700,6498
2020052800,6843
2020052900,6729
2020053000,4476
2020053100,4334
2020060100,4975
2020060200,5260
2020060300,5009
2020060400,4979
2020060500,4051
2020060600,3541
2020060700,4303
2020060800,16108
2020060900,10455
2020061000,8382
2020061100,6906
2020061200,5700
2020061300,5106
2020061400,5720
2020061500,5564
2020061600,6998
2020061700,6004
2020061800,5749
2020061900,4501
2020062000,4087
2020062100,4734
2020062200,5534
2020062300,5072
2020062400,4899
2020062500,4580
2020062600,3702
2020062700,3251
2020062800,3999
2020062900,4381
2020063000,4338
2020070100,4160
2020070200,4431
2020070300,3165
2020070400,2602
2020070500,3163
2020070600,3916
2020070700,4332
2020070800,4460
2020070900,4116
2020071000,3478
2020071100,2841
2020071200,3517
2020071300,4228
2020071400,5006
2020071500,4220
2020071600,3914
2020071700,3587
2020071800,3010
2020071900,3552
2020072000,3618
2020072100,3253
2020072200,3646
2020072300,3346
2020072400,2837
2020072500,2494
2020072600,3188
2020072700,3735
2020072800,3265
2020072900,3013
2020073000,3476
2020073100,3272
2020080100,5866
2020080200,5238
2020080300,4174
2020080400,2977
2020080500,2899
2020080600,2629
2020080700,2356
2020080800,2136
2020080900,4021
2020081000,4051
2020081100,10638
2020081200,7594
2020081300,8518
2020081400,6981
2020081500,3908
2020081600,4743
2020081700,5516
2020081800,4923
2020081900,4167
2020082000,3724
2020082100,3304
2020082200,3066
2020082300,3451
2020082400,4423
2020082500,3773
2020082600,3405
2020082700,3407
2020082800,2633
2020082900,2469
2020083000,3088
2020083100,3291
2020090100,3165
2020090200,2802
2020090300,2677
2020090400,2690
2020090500,2420
2020090600,2614
2020090700,2879
2020090800,2727
2020090900,2516
2020091000,2704
2020091100,2212
2020091200,1991
2020091300,2282
2020091400,2744
2020091500,2377
2020091600,2423
2020091700,2797
2020091800,2295
2020091900,1870
2020092000,2228
2020092100,2876
2020092200,2584
2020092300,2588
2020092400,2493
2020092500,1903
2020092600,1627
2020092700,2081
2020092800,2376
2020092900,2260
2020093000,2203
2020100100,2038
2020100200,2019
2020100300,1896
2020100400,2163
2020100500,2956
2020100600,2676
2020100700,2896
2020100800,2453
2020100900,2100
2020101000,1883
2020101100,2928
2020101200,3381
2020101300,3031
2020101400,2773
2020101500,2646
2020101600,2481
2020101700,3860
2020101800,4252
2020101900,4061
2020102000,3200
2020102100,3133
2020102200,2627
2020102300,2304
2020102400,1986
2020102500,2590
2020102600,2705
2020102700,2716
2020102800,3916
2020102900,2622
2020103000,2081
2020103100,2045
2020110100,2421
2020110200,2733
2020110300,2659
2020110400,1966
2020110500,2443
2020110600,1675
2020110700,1559
2020110800,1860
2020110900,2178
2020111000,2137
2020111100,2024
2020111200,3005
2020111300,2397
2020111400,1895
2020111500,2237
2020111600,2422
2020111700,2224
2020111800,2305
2020111900,2079
2020112000,1812
2020112100,1510
2020112200,1956
2020112300,2457
2020112400,2417
2020112500,1958
2020112600,1797
2020112700,1560
2020112800,1365
2020112900,1596
2020113000,2028
2020120100,1921
2020120200,1743
2020120300,1565
2020120400,1351
2020120500,1234
2020120600,1501
2020120700,1737
2020120800,1657
2020120900,1575
2020121000,1637
2020121100,1378
2020121200,1446
2020121300,2476
2020121400,3164
2020121500,2297
2020121600,2355
2020121700,1801
2020121800,1624
2020121900,1669
2020122000,2364
2020122100,2259
2020122200,2059
2020122300,1710
2020122400,1466
2020122500,1282
2020122600,1251
2020122700,1369
2020122800,1421
2020122900,1544
2020123000,1476
2020123100,2302
