timestamp,pageview
2020092100,6
2020092200,4
2020092300,3
2020092400,2
2020092500,5
2020092600,7
2020092700,4
2020092800,1
2020092900,1
2020093000,6
2020100100,3
2020100200,1
2020100300,3
2020100400,1
2020100500,4
2020100600,3
2020100700,6
2020100800,3
2020100900,3
2020101000,4
2020101100,6
2020101200,5
2020101300,3
2020101400,2
2020101500,4
2020101600,3
2020101700,3
2020101800,6
2020101900,37
2020102000,41
2020102100,44
2020102200,29
2020102300,46
2020102400,37
2020102500,51
2020102600,50
2020102700,44
2020102800,53
2020102900,77
2020103000,57
2020103100,53
2020110100,46
2020110200,53
2020110300,33
2020110400,28
2020110500,36
2020110600,30
2020110700,24
2020110800,55
2020110900,75
2020111000,124
2020111100,111
2020111200,109
2020111300,112
2020111400,76
2020111500,85
2020111600,72
2020111700,103
2020111800,463
2020111900,1088
2020112000,628
2020112100,464
2020112200,533
2020112300,625
2020112400,386
2020112500,320
2020112600,319
2020112700,351
2020112800,332
2020112900,336
2020113000,318
2020120100,264
2020120200,297
2020120300,260
2020120400,242
2020120500,231
2020120600,245
2020120700,234
2020120800,298
2020120900,242
2020121000,245
2020121100,205
2020121200,190
2020121300,194
2020121400,251
2020121500,244
2020121600,251
2020121700,265
2020121800,285
2020121900,234
2020122000,269
2020122100,247
2020122200,307
2020122300,213
2020122400,165
2020122500,182
2020122600,188
2020122700,201
2020122800,183
2020122900,237
2020123000,234
2020123100,305
