timestamp,pageview
2020050400,6743
2020050500,6254
2020050600,5990
2020050700,5409
2020050800,4955
2020050900,4932
2020051000,5448
2020051100,5907
2020051200,5678
2020051300,5425
2020051400,4963
2020051500,4874
2020051600,4243
2020051700,4503
2020051800,4881
2020051900,4713
2020052000,4534
2020052100,4270
2020052200,4020
2020052300,3803
2020052400,3936
2020052500,4200
2020052600,3900
2020052700,3740
2020052800,3961
2020052900,3392
2020053000,3097
2020053100,3262
2020060100,3394
2020060200,3419
2020060300,3288
2020060400,3384
2020060500,3202
2020060600,2819
2020060700,3049
2020060800,3452
2020060900,3414
2020061000,3110
2020061100,3361
2020061200,2804
2020061300,2509
2020061400,2649
2020061500,2973
2020061600,2716
2020061700,2587
2020061800,2513
2020061900,2454
2020062000,2176
2020062100,2212
2020062200,2541
2020062300,2399
2020062400,2290
2020062500,2224
2020062600,2162
2020062700,1890
2020062800,1821
2020062900,2209
2020063000,2174
2020070100,2086
2020070200,2262
2020070300,1885
2020070400,1837
2020070500,1843
2020070600,2116
2020070700,2243
2020070800,2020
2020070900,1956
2020071000,1720
2020071100,1557
2020071200,1668
2020071300,1903
2020071400,2241
2020071500,1851
2020071600,1820
2020071700,1889
2020071800,1714
2020071900,1816
2020072000,1826
2020072100,1977
2020072200,2130
2020072300,1986
2020072400,2043
2020072500,1693
2020072600,1536
2020072700,2030
2020072800,2050
2020072900,1963
2020073000,1564
2020073100,1448
2020080100,1430
2020080200,1497
2020080300,1692
2020080400,2068
2020080500,1710
2020080600,1853
2020080700,1632
2020080800,1447
2020080900,1549
2020081000,2058
2020081100,1791
2020081200,1576
2020081300,1565
2020081400,1741
2020081500,1368
2020081600,1454
2020081700,1605
2020081800,1777
2020081900,1645
2020082000,1565
2020082100,1413
2020082200,1208
2020082300,1181
2020082400,1435
2020082500,1505
2020082600,1328
2020082700,1242
2020082800,1100
2020082900,999
2020083000,1019
2020083100,1213
2020090100,1144
2020090200,1102
2020090300,1119
2020090400,1012
2020090500,887
2020090600,1097
2020090700,1275
2020090800,1280
2020090900,1383
2020091000,1443
2020091100,1218
2020091200,1156
2020091300,1239
2020091400,1401
2020091500,1474
2020091600,1702
2020091700,1654
2020091800,1580
2020091900,1157
2020092000,1180
2020092100,1466
2020092200,1782
2020092300,1815
2020092400,1672
2020092500,1459
2020092600,1231
2020092700,1440
2020092800,2018
2020092900,2058
2020093000,1666
2020100100,1453
2020100200,1435
2020100300,1412
2020100400,1432
2020100500,1644
2020100600,1741
2020100700,1634
2020100800,1710
2020100900,1751
2020101000,1720
2020101100,1741
2020101200,2004
2020101300,3083
2020101400,2479
2020101500,2086
2020101600,1875
2020101700,1676
2020101800,1517
2020101900,1845
2020102000,1808
2020102100,1720
2020102200,1836
2020102300,1780
2020102400,1792
2020102500,1889
2020102600,2028
2020102700,2173
2020102800,2663
2020102900,1788
2020103000,1585
2020103100,1516
2020110100,1541
2020110200,1584
2020110300,1820
2020110400,1386
2020110500,1477
2020110600,1807
2020110700,1164
2020110800,1126
2020110900,1307
2020111000,1602
2020111100,1553
2020111200,1191
2020111300,1092
2020111400,1030
2020111500,957
2020111600,1090
2020111700,1323
2020111800,1050
2020111900,972
2020112000,843
2020112100,820
2020112200,919
2020112300,1157
2020112400,1071
2020112500,987
2020112600,951
2020112700,811
2020112800,716
2020112900,800
2020113000,979
2020120100,1107
2020120200,896
2020120300,752
2020120400,738
2020120500,786
2020120600,813
2020120700,948
2020120800,1108
2020120900,1074
2020121000,1027
2020121100,831
2020121200,778
2020121300,1040
2020121400,2262
2020121500,1769
2020121600,1303
2020121700,1199
2020121800,1113
2020121900,853
2020122000,1195
2020122100,1090
2020122200,1257
2020122300,971
2020122400,784
2020122500,819
2020122600,777
2020122700,809
2020122800,921
2020122900,1126
2020123000,944
2020123100,835
