timestamp,pageview
2020010100,79
2020010200,76
2020010300,89
2020010400,98
2020010500,111
2020010600,104
2020010700,79
2020010800,79
2020010900,114
2020011000,94
2020011100,88
2020011200,141
2020011300,99
2020011400,89
2020011500,84
2020011600,143
2020011700,93
2020011800,91
2020011900,120
2020012000,102
2020012100,112
2020012200,92
2020012300,87
2020012400,102
2020012500,88
2020012600,75
2020012700,73
2020012800,67
2020012900,69
2020013000,59
2020013100,75
2020020100,123
2020020200,64
2020020300,93
2020020400,84
2020020500,182
2020020600,107
2020020700,124
2020020800,172
2020020900,101
2020021000,115
2020021100,115
2020021200,152
2020021300,81
2020021400,92
2020021500,112
2020021600,126
2020021700,130
2020021800,85
2020021900,120
2020022000,117
2020022100,111
2020022200,103
2020022300,82
2020022400,98
2020022500,87
2020022600,70
2020022700,83
2020022800,82
2020022900,90
2020030100,73
2020030200,60
2020030300,82
2020030400,54
2020030500,120
2020030600,93
2020030700,145
2020030800,131
2020030900,121
2020031000,109
2020031100,110
2020031200,131
2020031300,100
2020031400,62
2020031500,92
2020031600,112
2020031700,80
2020031800,68
2020031900,85
2020032000,119
2020032100,178
2020032200,91
2020032300,99
2020032400,109
2020032500,94
2020032600,129
2020032700,97
2020032800,123
2020032900,107
2020033000,145
2020033100,127
2020040100,382
2020040200,471
2020040300,709
2020040400,2412
2020040500,3009
2020040600,1452
2020040700,562
2020040800,285
2020040900,301
2020041000,266
2020041100,195
2020041200,191
2020041300,1562
2020041400,369
2020041500,255
2020041600,143
2020041700,372
2020041800,168
2020041900,133
2020042000,140
2020042100,161
2020042200,98
2020042300,80
2020042400,90
2020042500,89
2020042600,106
2020042700,83
2020042800,75
2020042900,98
2020043000,72
2020050100,87
2020050200,68
2020050300,58
2020050400,78
2020050500,81
2020050600,58
2020050700,71
2020050800,75
2020050900,59
2020051000,79
2020051100,71
2020051200,80
2020051300,62
2020051400,65
2020051500,57
2020051600,86
2020051700,82
2020051800,83
2020051900,67
2020052000,57
2020052100,120
2020052200,107
2020052300,100
2020052400,99
2020052500,99
2020052600,85
2020052700,81
2020052800,55
2020052900,61
2020053000,108
2020053100,60
2020060100,51
2020060200,43
2020060300,47
2020060400,48
2020060500,49
2020060600,41
2020060700,44
2020060800,64
2020060900,58
2020061000,54
2020061100,37
2020061200,42
2020061300,26
2020061400,37
2020061500,36
2020061600,35
2020061700,27
2020061800,37
2020061900,52
2020062000,26
2020062100,52
2020062200,46
2020062300,35
2020062400,31
2020062500,42
2020062600,34
2020062700,38
2020062800,49
2020062900,42
2020063000,61
2020070100,33
2020070200,44
2020070300,53
2020070400,39
2020070500,42
2020070600,49
2020070700,35
2020070800,36
2020070900,33
2020071000,37
2020071100,38
2020071200,21
2020071300,23
2020071400,38
2020071500,42
2020071600,58
2020071700,38
2020071800,33
2020071900,46
2020072000,35
2020072100,38
2020072200,28
2020072300,42
2020072400,50
2020072500,39
2020072600,30
2020072700,38
2020072800,32
2020072900,41
2020073000,50
2020073100,39
2020080100,30
2020080200,29
2020080300,39
2020080400,29
2020080500,43
2020080600,39
2020080700,33
2020080800,31
2020080900,28
2020081000,35
2020081100,35
2020081200,41
2020081300,25
2020081400,30
2020081500,22
2020081600,33
2020081700,28
2020081800,29
2020081900,36
2020082000,27
2020082100,28
2020082200,49
2020082300,32
2020082400,25
2020082500,49
2020082600,38
2020082700,40
2020082800,22
2020082900,38
2020083000,33
2020083100,25
2020090100,34
2020090200,35
2020090300,204
2020090400,85
2020090500,51
2020090600,56
2020090700,100
2020090800,63
2020090900,65
2020091000,64
2020091100,76
2020091200,91
2020091300,45
2020091400,102
2020091500,96
2020091600,134
2020091700,86
2020091800,71
2020091900,72
2020092000,54
2020092100,62
2020092200,93
2020092300,95
2020092400,103
2020092500,87
2020092600,99
2020092700,58
2020092800,55
2020092900,79
2020093000,53
2020100100,73
2020100200,49
2020100300,45
2020100400,42
2020100500,34
2020100600,44
2020100700,49
2020100800,32
2020100900,39
2020101000,49
2020101100,41
2020101200,49
2020101300,40
2020101400,49
2020101500,45
2020101600,44
2020101700,40
2020101800,33
2020101900,48
2020102000,36
2020102100,52
2020102200,58
2020102300,61
2020102400,26
2020102500,52
2020102600,54
2020102700,47
2020102800,41
2020102900,46
2020103000,40
2020103100,43
2020110100,32
2020110200,46
2020110300,37
2020110400,48
2020110500,37
2020110600,68
2020110700,41
2020110800,39
2020110900,53
2020111000,43
2020111100,50
2020111200,61
2020111300,67
2020111400,48
2020111500,54
2020111600,40
2020111700,51
2020111800,49
2020111900,59
2020112000,45
2020112100,47
2020112200,51
2020112300,48
2020112400,53
2020112500,65
2020112600,55
2020112700,77
2020112800,41
2020112900,57
2020113000,67
2020120100,53
2020120200,49
2020120300,33
2020120400,37
2020120500,48
2020120600,48
2020120700,43
2020120800,38
2020120900,35
2020121000,39
2020121100,19
2020121200,37
2020121300,55
2020121400,31
2020121500,36
2020121600,43
2020121700,50
2020121800,24
2020121900,34
2020122000,45
2020122100,36
2020122200,34
2020122300,54
2020122400,40
2020122500,38
2020122600,38
2020122700,38
2020122800,61
2020122900,37
2020123000,52
2020123100,43
