timestamp,pageview
2020090200,98
2020090300,405
2020090400,192
2020090500,78
2020090600,119
2020090700,46
2020090800,50
2020090900,59
2020091000,40
2020091100,49
2020091200,49
2020091300,49
2020091400,84
2020091500,55
2020091600,67
2020091700,44
2020091800,45
2020091900,59
2020092000,42
2020092100,62
2020092200,63
2020092300,63
2020092400,54
2020092500,41
2020092600,43
2020092700,40
2020092800,60
2020092900,49
2020093000,58
2020100100,91
2020100200,126
2020100300,79
2020100400,98
2020100500,126
2020100600,73
2020100700,98
2020100800,135
2020100900,59
2020101000,75
2020101100,57
2020101200,132
2020101300,122
2020101400,168
2020101500,168
2020101600,158
2020101700,75
2020101800,106
2020101900,146
2020102000,142
2020102100,136
2020102200,77
2020102300,140
2020102400,94
2020102500,96
2020102600,117
2020102700,108
2020102800,114
2020102900,75
2020103000,122
2020103100,197
2020110100,236
2020110200,174
2020110300,145
2020110400,104
2020110500,183
2020110600,132
2020110700,115
2020110800,156
2020110900,92
2020111000,135
2020111100,219
2020111200,261
2020111300,1592
2020111400,1342
2020111500,611
2020111600,396
2020111700,208
2020111800,221
2020111900,215
2020112000,210
2020112100,185
2020112200,189
2020112300,213
2020112400,171
2020112500,179
2020112600,194
2020112700,167
2020112800,156
2020112900,168
2020113000,149
2020120100,188
2020120200,200
2020120300,147
2020120400,194
2020120500,225
2020120600,170
2020120700,188
2020120800,264
2020120900,217
2020121000,218
2020121100,175
2020121200,139
2020121300,163
2020121400,210
2020121500,249
2020121600,296
2020121700,331
2020121800,296
2020121900,225
2020122000,318
2020122100,259
2020122200,371
2020122300,422
2020122400,380
2020122500,296
2020122600,411
2020122700,651
2020122800,751
2020122900,809
2020123000,969
2020123100,1390
