timestamp,pageview
2020010100,8
2020010200,13
2020010300,23
2020010400,5
2020010500,15
2020010600,14
2020010700,13
2020010800,21
2020010900,16
2020011000,14
2020011100,19
2020011200,14
2020011300,17
2020011400,21
2020011500,14
2020011600,9
2020011700,20
2020011800,30
2020011900,25
2020012000,36
2020012100,82
2020012200,103
2020012300,146
2020012400,172
2020012500,204
2020012600,180
2020012700,199
2020012800,201
2020012900,174
2020013000,181
2020013100,162
2020020100,113
2020020200,83
2020020300,79
2020020400,97
2020020500,62
2020020600,75
2020020700,78
2020020800,72
2020020900,52
2020021000,66
2020021100,59
2020021200,48
2020021300,51
2020021400,45
2020021500,57
2020021600,41
2020021700,57
2020021800,81
2020021900,45
2020022000,45
2020022100,41
2020022200,40
2020022300,40
2020022400,77
2020022500,70
2020022600,86
2020022700,80
2020022800,82
2020022900,90
2020030100,101
2020030200,135
2020030300,112
2020030400,99
2020030500,112
2020030600,119
2020030700,112
2020030800,103
2020030900,88
2020031000,160
2020031100,145
2020031200,199
2020031300,302
2020031400,290
2020031500,469
2020031600,338
2020031700,299
2020031800,248
2020031900,271
2020032000,265
2020032100,268
2020032200,227
2020032300,228
2020032400,238
2020032500,246
2020032600,294
2020032700,308
2020032800,226
2020032900,242
2020033000,230
2020033100,223
2020040100,226
2020040200,193
2020040300,192
2020040400,169
2020040500,227
2020040600,175
2020040700,175
2020040800,240
2020040900,301
2020041000,345
2020041100,626
2020041200,426
2020041300,783
2020041400,1148
2020041500,1228
2020041600,1250
2020041700,808
2020041800,274
2020041900,255
2020042000,219
2020042100,216
2020042200,237
2020042300,217
2020042400,236
2020042500,187
2020042600,176
2020042700,168
2020042800,182
2020042900,153
2020043000,165
2020050100,160
2020050200,195
2020050300,163
2020050400,127
2020050500,144
2020050600,201
2020050700,163
2020050800,150
2020050900,136
2020051000,132
2020051100,120
2020051200,107
2020051300,94
2020051400,130
2020051500,101
2020051600,112
2020051700,107
2020051800,98
2020051900,73
2020052000,97
2020052100,117
2020052200,120
2020052300,169
2020052400,96
2020052500,100
2020052600,118
2020052700,108
2020052800,104
2020052900,83
2020053000,117
2020053100,80
2020060100,77
2020060200,97
2020060300,84
2020060400,75
2020060500,96
2020060600,65
2020060700,66
2020060800,91
2020060900,101
2020061000,80
2020061100,64
2020061200,60
2020061300,55
2020061400,32
2020061500,53
2020061600,60
2020061700,47
2020061800,55
2020061900,50
2020062000,90
2020062100,63
2020062200,72
2020062300,57
2020062400,68
2020062500,54
2020062600,64
2020062700,95
2020062800,57
2020062900,47
2020063000,57
2020070100,75
2020070200,56
2020070300,61
2020070400,44
2020070500,43
2020070600,61
2020070700,60
2020070800,54
2020070900,50
2020071000,31
2020071100,55
2020071200,63
2020071300,54
2020071400,68
2020071500,60
2020071600,81
2020071700,49
2020071800,46
2020071900,67
2020072000,41
2020072100,54
2020072200,59
2020072300,78
2020072400,38
2020072500,75
2020072600,55
2020072700,78
2020072800,78
2020072900,36
2020073000,49
2020073100,38
2020080100,40
2020080200,42
2020080300,32
2020080400,36
2020080500,45
2020080600,48
2020080700,43
2020080800,58
2020080900,82
2020081000,29
2020081100,41
2020081200,50
2020081300,30
2020081400,46
2020081500,42
2020081600,35
2020081700,46
2020081800,43
2020081900,36
2020082000,31
2020082100,42
2020082200,33
2020082300,36
2020082400,27
2020082500,34
2020082600,36
2020082700,51
2020082800,26
2020082900,38
2020083000,37
2020083100,48
2020090100,62
2020090200,52
2020090300,30
2020090400,30
2020090500,23
2020090600,25
2020090700,40
2020090800,37
2020090900,34
2020091000,32
2020091100,46
2020091200,25
2020091300,28
2020091400,35
2020091500,33
2020091600,43
2020091700,38
2020091800,47
2020091900,25
2020092000,33
2020092100,53
2020092200,39
2020092300,49
2020092400,51
2020092500,52
2020092600,32
2020092700,46
2020092800,52
2020092900,33
2020093000,39
2020100100,29
2020100200,46
2020100300,46
2020100400,36
2020100500,50
2020100600,38
2020100700,31
2020100800,39
2020100900,39
2020101000,38
2020101100,35
2020101200,50
2020101300,37
2020101400,33
2020101500,102
2020101600,98
2020101700,58
2020101800,55
2020101900,52
2020102000,55
2020102100,57
2020102200,56
2020102300,56
2020102400,37
2020102500,49
2020102600,34
2020102700,44
2020102800,55
2020102900,39
2020103000,47
2020103100,31
2020110100,40
2020110200,58
2020110300,67
2020110400,57
2020110500,51
2020110600,45
2020110700,59
2020110800,49
2020110900,54
2020111000,67
2020111100,69
2020111200,62
2020111300,37
2020111400,38
2020111500,46
2020111600,45
2020111700,54
2020111800,57
2020111900,42
2020112000,47
2020112100,42
2020112200,34
2020112300,54
2020112400,41
2020112500,53
2020112600,41
2020112700,32
2020112800,42
2020112900,79
2020113000,64
2020120100,42
2020120200,44
2020120300,48
2020120400,60
2020120500,61
2020120600,73
2020120700,64
2020120800,58
2020120900,48
2020121000,48
2020121100,50
2020121200,39
2020121300,69
2020121400,46
2020121500,63
2020121600,53
2020121700,32
2020121800,39
2020121900,91
2020122000,41
2020122100,64
2020122200,68
2020122300,73
2020122400,40
2020122500,32
2020122600,48
2020122700,218
2020122800,83
2020122900,66
2020123000,69
2020123100,50
