timestamp,pageview
2020031400,4465
2020031500,2846
2020031600,5422
2020031700,3123
2020031800,2719
2020031900,7545
2020032000,4057
2020032100,1924
2020032200,2361
2020032300,5870
2020032400,3971
2020032500,3881
2020032600,3573
2020032700,3290
2020032800,2149
2020032900,1918
2020033000,3295
2020033100,4655
2020040100,5252
2020040200,4440
2020040300,3279
2020040400,1712
2020040500,1238
2020040600,2228
2020040700,2390
2020040800,2037
2020040900,1876
2020041000,1598
2020041100,987
2020041200,697
2020041300,1547
2020041400,1865
2020041500,1798
2020041600,1698
2020041700,1574
2020041800,1002
2020041900,939
2020042000,1658
2020042100,1526
2020042200,1486
2020042300,1620
2020042400,1475
2020042500,711
2020042600,635
2020042700,3058
2020042800,1232
2020042900,1175
2020043000,1232
2020050100,1143
2020050200,519
2020050300,529
2020050400,989
2020050500,1155
2020050600,1072
2020050700,971
2020050800,930
2020050900,431
2020051000,476
2020051100,878
2020051200,1075
2020051300,1079
2020051400,977
2020051500,1014
2020051600,613
2020051700,510
2020051800,783
2020051900,834
2020052000,714
2020052100,655
2020052200,575
2020052300,372
2020052400,304
2020052500,391
2020052600,595
2020052700,643
2020052800,735
2020052900,443
2020053000,243
2020053100,202
2020060100,397
2020060200,405
2020060300,399
2020060400,354
2020060500,349
2020060600,189
2020060700,181
2020060800,399
2020060900,365
2020061000,391
2020061100,271
2020061200,265
2020061300,170
2020061400,165
2020061500,376
2020061600,351
2020061700,297
2020061800,372
2020061900,598
2020062000,350
2020062100,347
2020062200,734
2020062300,809
2020062400,788
2020062500,952
2020062600,732
2020062700,470
2020062800,482
2020062900,904
2020063000,904
2020070100,886
2020070200,1038
2020070300,711
2020070400,443
2020070500,444
2020070600,934
2020070700,1078
2020070800,1024
2020070900,1253
2020071000,1268
2020071100,691
2020071200,573
2020071300,1102
2020071400,1266
2020071500,1313
2020071600,1212
2020071700,1312
2020071800,846
2020071900,623
2020072000,1094
2020072100,1269
2020072200,1403
2020072300,1370
2020072400,1188
2020072500,692
2020072600,618
2020072700,1197
2020072800,1406
2020072900,1350
2020073000,1222
2020073100,1222
2020080100,891
2020080200,652
2020080300,1186
2020080400,1410
2020080500,1247
2020080600,1274
2020080700,1154
2020080800,758
2020080900,772
2020081000,954
2020081100,1328
2020081200,1464
2020081300,1434
2020081400,1304
2020081500,826
2020081600,760
2020081700,1523
2020081800,1359
2020081900,1324
2020082000,1244
2020082100,1068
2020082200,696
2020082300,573
2020082400,917
2020082500,975
2020082600,1052
2020082700,1089
2020082800,1002
2020082900,650
2020083000,565
2020083100,858
2020090100,909
2020090200,817
2020090300,765
2020090400,662
2020090500,413
2020090600,352
2020090700,436
2020090800,646
2020090900,686
2020091000,716
2020091100,599
2020091200,446
2020091300,441
2020091400,626
2020091500,789
2020091600,635
2020091700,755
2020091800,594
2020091900,422
2020092000,345
2020092100,568
2020092200,686
2020092300,659
2020092400,687
2020092500,617
2020092600,380
2020092700,410
2020092800,709
2020092900,717
2020093000,605
2020100100,644
2020100200,721
2020100300,435
2020100400,405
2020100500,607
2020100600,703
2020100700,674
2020100800,619
2020100900,620
2020101000,453
2020101100,370
2020101200,671
2020101300,672
2020101400,701
2020101500,723
2020101600,598
2020101700,411
2020101800,383
2020101900,755
2020102000,746
2020102100,811
2020102200,740
2020102300,664
2020102400,408
2020102500,480
2020102600,809
2020102700,1021
2020102800,1128
2020102900,1141
2020103000,842
2020103100,531
2020110100,498
2020110200,925
2020110300,841
2020110400,894
2020110500,904
2020110600,887
2020110700,627
2020110800,691
2020110900,1305
2020111000,1354
2020111100,1302
2020111200,1552
2020111300,1538
2020111400,970
2020111500,1026
2020111600,1657
2020111700,1689
2020111800,1608
2020111900,1623
2020112000,1354
2020112100,991
2020112200,870
2020112300,1359
2020112400,1311
2020112500,1092
2020112600,566
2020112700,705
2020112800,723
2020112900,847
2020113000,1352
2020120100,1456
2020120200,1415
2020120300,1399
2020120400,1142
2020120500,763
2020120600,785
2020120700,1357
2020120800,1419
2020120900,1451
2020121000,1248
2020121100,1178
2020121200,842
2020121300,705
2020121400,1280
2020121500,1282
2020121600,1195
2020121700,1116
2020121800,990
2020121900,773
2020122000,770
2020122100,1442
2020122200,1666
2020122300,1222
2020122400,689
2020122500,390
2020122600,444
2020122700,683
2020122800,1359
2020122900,1328
2020123000,1176
2020123100,1122
