timestamp,pageview
2020010100,669
2020010200,795
2020010300,770
2020010400,719
2020010500,752
2020010600,755
2020010700,745
2020010800,732
2020010900,923
2020011000,735
2020011100,691
2020011200,1965
2020011300,16726
2020011400,18383
2020011500,13947
2020011600,6833
2020011700,3718
2020011800,1740
2020011900,1719
2020012000,1394
2020012100,1097
2020012200,936
2020012300,926
2020012400,1028
2020012500,779
2020012600,797
2020012700,842
2020012800,1006
2020012900,898
2020013000,731
2020013100,731
2020020100,630
2020020200,664
2020020300,756
2020020400,752
2020020500,839
2020020600,913
2020020700,896
2020020800,643
2020020900,815
2020021000,899
2020021100,871
2020021200,807
2020021300,715
2020021400,767
2020021500,655
2020021600,836
2020021700,701
2020021800,772
2020021900,672
2020022000,656
2020022100,620
2020022200,619
2020022300,726
2020022400,765
2020022500,697
2020022600,789
2020022700,827
2020022800,790
2020022900,728
2020030100,711
2020030200,618
2020030300,600
2020030400,24469
2020030500,91804
2020030600,22579
2020030700,8603
2020030800,6437
2020030900,5532
2020031000,4469
2020031100,3386
2020031200,3062
2020031300,2428
2020031400,2134
2020031500,2206
2020031600,2438
2020031700,1944
2020031800,1540
2020031900,1423
2020032000,1090
2020032100,1031
2020032200,854
2020032300,971
2020032400,848
2020032500,977
2020032600,812
2020032700,878
2020032800,856
2020032900,780
2020033000,1090
2020033100,870
2020040100,878
2020040200,843
2020040300,650
2020040400,674
2020040500,711
2020040600,721
2020040700,772
2020040800,678
2020040900,638
2020041000,754
2020041100,494
2020041200,656
2020041300,679
2020041400,673
2020041500,811
2020041600,767
2020041700,791
2020041800,750
2020041900,541
2020042000,1097
2020042100,1207
2020042200,864
2020042300,817
2020042400,712
2020042500,653
2020042600,754
2020042700,716
2020042800,772
2020042900,687
2020043000,603
2020050100,604
2020050200,655
2020050300,625
2020050400,859
2020050500,890
2020050600,717
2020050700,574
2020050800,605
2020050900,616
2020051000,622
2020051100,720
2020051200,597
2020051300,573
2020051400,660
2020051500,534
2020051600,450
2020051700,465
2020051800,636
2020051900,599
2020052000,476
2020052100,489
2020052200,434
2020052300,469
2020052400,510
2020052500,472
2020052600,543
2020052700,593
2020052800,470
2020052900,452
2020053000,481
2020053100,411
2020060100,474
2020060200,496
2020060300,472
2020060400,465
2020060500,490
2020060600,430
2020060700,382
2020060800,429
2020060900,459
2020061000,411
2020061100,407
2020061200,575
2020061300,381
2020061400,396
2020061500,507
2020061600,457
2020061700,793
2020061800,746
2020061900,592
2020062000,501
2020062100,484
2020062200,580
2020062300,432
2020062400,421
2020062500,434
2020062600,386
2020062700,362
2020062800,402
2020062900,542
2020063000,455
2020070100,392
2020070200,455
2020070300,391
2020070400,359
2020070500,448
2020070600,411
2020070700,458
2020070800,427
2020070900,466
2020071000,350
2020071100,507
2020071200,367
2020071300,405
2020071400,371
2020071500,371
2020071600,605
2020071700,739
2020071800,568
2020071900,343
2020072000,362
2020072100,371
2020072200,416
2020072300,420
2020072400,355
2020072500,333
2020072600,599
2020072700,683
2020072800,683
2020072900,620
2020073000,432
2020073100,284
2020080100,320
2020080200,303
2020080300,357
2020080400,405
2020080500,452
2020080600,319
2020080700,328
2020080800,282
2020080900,316
2020081000,373
2020081100,306
2020081200,355
2020081300,333
2020081400,285
2020081500,248
2020081600,294
2020081700,351
2020081800,320
2020081900,304
2020082000,337
2020082100,338
2020082200,287
2020082300,318
2020082400,350
2020082500,336
2020082600,315
2020082700,331
2020082800,316
2020082900,258
2020083000,305
2020083100,313
2020090100,292
2020090200,321
2020090300,316
2020090400,307
2020090500,289
2020090600,319
2020090700,327
2020090800,342
2020090900,309
2020091000,321
2020091100,333
2020091200,299
2020091300,300
2020091400,305
2020091500,297
2020091600,312
2020091700,289
2020091800,392
2020091900,581
2020092000,257
2020092100,300
2020092200,355
2020092300,362
2020092400,270
2020092500,305
2020092600,286
2020092700,261
2020092800,283
2020092900,331
2020093000,281
2020100100,288
2020100200,247
2020100300,269
2020100400,238
2020100500,290
2020100600,276
2020100700,270
2020100800,322
2020100900,280
2020101000,247
2020101100,259
2020101200,272
2020101300,288
2020101400,278
2020101500,288
2020101600,304
2020101700,284
2020101800,380
2020101900,1410
2020102000,1054
2020102100,676
2020102200,444
2020102300,420
2020102400,317
2020102500,304
2020102600,345
2020102700,321
2020102800,352
2020102900,322
2020103000,283
2020103100,268
2020110100,271
2020110200,324
2020110300,332
2020110400,284
2020110500,280
2020110600,283
2020110700,224
2020110800,293
2020110900,345
2020111000,310
2020111100,304
2020111200,338
2020111300,287
2020111400,291
2020111500,376
2020111600,345
2020111700,347
2020111800,350
2020111900,315
2020112000,293
2020112100,301
2020112200,537
2020112300,599
2020112400,312
2020112500,279
2020112600,245
2020112700,259
2020112800,266
2020112900,312
2020113000,538
2020120100,302
2020120200,287
2020120300,357
2020120400,377
2020120500,330
2020120600,335
2020120700,319
2020120800,337
2020120900,340
2020121000,360
2020121100,281
2020121200,291
2020121300,294
2020121400,282
2020121500,340
2020121600,251
2020121700,290
2020121800,321
2020121900,255
2020122000,274
2020122100,294
2020122200,282
2020122300,287
2020122400,243
2020122500,237
2020122600,332
2020122700,291
2020122800,344
2020122900,324
2020123000,292
2020123100,310
