timestamp,pageview
2020010100,582
2020010200,832
2020010300,751
2020010400,689
2020010500,578
2020010600,844
2020010700,857
2020010800,889
2020010900,957
2020011000,825
2020011100,631
2020011200,681
2020011300,891
2020011400,923
2020011500,912
2020011600,982
2020011700,902
2020011800,628
2020011900,659
2020012000,901
2020012100,1046
2020012200,953
2020012300,955
2020012400,934
2020012500,711
2020012600,700
2020012700,937
2020012800,936
2020012900,978
2020013000,1071
2020013100,882
2020020100,734
2020020200,664
2020020300,882
2020020400,1006
2020020500,1030
2020020600,1046
2020020700,987
2020020800,731
2020020900,682
2020021000,958
2020021100,1033
2020021200,996
2020021300,1110
2020021400,957
2020021500,704
2020021600,742
2020021700,1007
2020021800,1269
2020021900,1256
2020022000,1071
2020022100,1052
2020022200,877
2020022300,976
2020022400,1377
2020022500,1469
2020022600,1699
2020022700,1647
2020022800,1507
2020022900,1251
2020030100,1192
2020030200,1528
2020030300,1518
2020030400,1498
2020030500,1425
2020030600,1451
2020030700,1303
2020030800,1122
2020030900,1511
2020031000,2245
2020031100,3609
2020031200,4708
2020031300,6469
2020031400,5892
2020031500,6527
2020031600,7087
2020031700,29079
2020031800,34062
2020031900,164338
2020032000,127412
2020032100,104572
2020032200,95040
2020032300,114424
2020032400,98427
2020032500,60374
2020032600,48053
2020032700,39492
2020032800,38396
2020032900,39562
2020033000,50452
2020033100,42938
2020040100,29093
2020040200,30498
2020040300,26845
2020040400,31496
2020040500,63424
2020040600,91024
2020040700,162724
2020040800,136421
2020040900,108468
2020041000,125072
2020041100,93284
2020041200,62853
2020041300,48193
2020041400,39352
2020041500,34158
2020041600,29664
2020041700,27631
2020041800,23607
2020041900,19795
2020042000,18846
2020042100,17597
2020042200,19854
2020042300,19940
2020042400,20104
2020042500,15112
2020042600,10489
2020042700,9803
2020042800,9656
2020042900,10099
2020043000,10284
2020050100,8932
2020050200,7845
2020050300,6550
2020050400,6921
2020050500,8038
2020050600,8655
2020050700,9044
2020050800,6844
2020050900,5573
2020051000,5652
2020051100,5640
2020051200,6625
2020051300,6777
2020051400,7793
2020051500,7926
2020051600,6692
2020051700,6510
2020051800,36743
2020051900,103453
2020052000,40295
2020052100,23665
2020052200,19946
2020052300,14249
2020052400,10401
2020052500,11110
2020052600,14043
2020052700,10673
2020052800,8060
2020052900,6284
2020053000,4687
2020053100,4244
2020060100,4788
2020060200,4942
2020060300,6084
2020060400,6747
2020060500,6549
2020060600,4961
2020060700,4093
2020060800,3855
2020060900,3339
2020061000,3279
2020061100,3645
2020061200,3419
2020061300,3069
2020061400,2973
2020061500,4705
2020061600,5527
2020061700,4055
2020061800,3666
2020061900,2983
2020062000,3040
2020062100,2850
2020062200,2901
2020062300,2719
2020062400,2771
2020062500,3016
2020062600,2683
2020062700,2845
2020062800,2716
2020062900,2893
2020063000,2944
2020070100,3166
2020070200,3936
2020070300,5724
2020070400,6040
2020070500,4676
2020070600,5065
2020070700,7491
2020070800,6957
2020070900,5697
2020071000,4574
2020071100,4212
2020071200,3567
2020071300,4423
2020071400,4107
2020071500,4552
2020071600,4696
2020071700,4034
2020071800,3202
2020071900,3544
2020072000,3636
2020072100,3721
2020072200,3483
2020072300,3936
2020072400,3356
2020072500,3229
2020072600,3289
2020072700,7433
2020072800,42491
2020072900,45248
2020073000,30609
2020073100,20444
2020080100,15658
2020080200,15543
2020080300,16098
2020080400,23940
2020080500,21241
2020080600,17983
2020080700,15570
2020080800,13949
2020080900,12860
2020081000,12836
2020081100,12054
2020081200,10730
2020081300,10614
2020081400,9655
2020081500,7767
2020081600,8113
2020081700,7678
2020081800,6885
2020081900,6372
2020082000,6595
2020082100,5980
2020082200,5209
2020082300,5503
2020082400,7512
2020082500,5927
2020082600,4997
2020082700,4622
2020082800,4270
2020082900,3915
2020083000,4069
2020083100,4330
2020090100,4154
2020090200,5621
2020090300,4114
2020090400,3713
2020090500,3384
2020090600,3407
2020090700,3486
2020090800,3770
2020090900,4095
2020091000,4031
2020091100,3752
2020091200,3485
2020091300,3483
2020091400,3506
2020091500,3064
2020091600,3269
2020091700,3421
2020091800,3097
2020091900,2831
2020092000,2823
2020092100,3026
2020092200,3060
2020092300,3145
2020092400,3238
2020092500,3010
2020092600,2529
2020092700,2730
2020092800,2819
2020092900,2755
2020093000,2897
2020100100,2705
2020100200,9203
2020100300,12561
2020100400,8100
2020100500,6368
2020100600,4845
2020100700,3501
2020100800,3508
2020100900,3486
2020101000,3047
2020101100,2576
2020101200,2903
2020101300,2745
2020101400,2727
2020101500,2851
2020101600,2768
2020101700,2355
2020101800,2425
2020101900,2993
2020102000,2850
2020102100,3121
2020102200,3001
2020102300,3049
2020102400,2420
2020102500,2536
2020102600,2977
2020102700,3007
2020102800,2735
2020102900,2939
