timestamp,pageview
2020072200,14
2020072300,1
2020081700,1
2020082600,1
2020091500,1
2020102500,1
2020102700,1
2020102800,1
2020110100,1
2020111100,1
2020111700,1
2020112300,9
2020112400,11
2020112500,17
2020112600,22
2020112700,21
2020112800,12
2020112900,17
2020113000,14
2020120100,13
2020120200,22
2020120300,10
2020120400,14
2020120500,21
2020120600,31
2020120700,51
2020120800,44
2020120900,42
2020121000,34
2020121100,49
2020121200,55
2020121300,41
2020121400,54
2020121500,38
2020121600,60
2020121700,72
2020121800,80
2020121900,54
2020122000,31
2020122100,29
2020122200,55
2020122300,33
2020122400,23
2020122500,27
2020122600,31
2020122700,28
2020122800,35
2020122900,41
2020123000,33
2020123100,20
