timestamp,pageview
2020010100,69
2020010200,86
2020010300,130
2020010400,94
2020010500,98
2020010600,150
2020010700,158
2020010800,165
2020010900,134
2020011000,115
2020011100,88
2020011200,103
2020011300,106
2020011400,135
2020011500,144
2020011600,139
2020011700,115
2020011800,126
2020011900,124
2020012000,191
2020012100,340
2020012200,399
2020012300,416
2020012400,493
2020012500,691
2020012600,764
2020012700,941
2020012800,1061
2020012900,924
2020013000,933
2020013100,833
2020020100,552
2020020200,607
2020020300,749
2020020400,733
2020020500,665
2020020600,643
2020020700,602
2020020800,412
2020020900,432
2020021000,505
2020021100,559
2020021200,462
2020021300,460
2020021400,418
2020021500,304
2020021600,317
2020021700,367
2020021800,375
2020021900,421
2020022000,339
2020022100,292
2020022200,321
2020022300,574
2020022400,804
2020022500,675
2020022600,803
2020022700,817
2020022800,883
2020022900,795
2020030100,711
2020030200,1028
2020030300,957
2020030400,1031
2020030500,1735
2020030600,1342
2020030700,1193
2020030800,1359
2020030900,1694
2020031000,1798
2020031100,2369
2020031200,3255
2020031300,3449
2020031400,3409
2020031500,3880
2020031600,4113
2020031700,3848
2020031800,3887
2020031900,3612
2020032000,3705
2020032100,3553
2020032200,3454
2020032300,3770
2020032400,3891
2020032500,3586
2020032600,3246
2020032700,3380
2020032800,3196
2020032900,3280
2020033000,3375
2020033100,2849
2020040100,2909
2020040200,2650
2020040300,2658
2020040400,2454
2020040500,2332
2020040600,2307
2020040700,2082
2020040800,1999
2020040900,1894
2020041000,1846
2020041100,1699
2020041200,1658
2020041300,1769
2020041400,1845
2020041500,1681
2020041600,1634
2020041700,1642
2020041800,1403
2020041900,1523
2020042000,1572
2020042100,1584
2020042200,1512
2020042300,1393
2020042400,1376
2020042500,1192
2020042600,1391
2020042700,1359
2020042800,1415
2020042900,1428
2020043000,1367
2020050100,1169
2020050200,1124
2020050300,1203
2020050400,1245
2020050500,1377
2020050600,1303
2020050700,1074
2020050800,1009
2020050900,862
2020051000,954
2020051100,1225
2020051200,958
2020051300,1033
2020051400,1014
2020051500,969
2020051600,810
2020051700,827
2020051800,868
2020051900,779
2020052000,868
2020052100,822
2020052200,810
2020052300,705
2020052400,689
2020052500,731
2020052600,830
2020052700,733
2020052800,677
2020052900,715
2020053000,551
2020053100,504
2020060100,630
2020060200,976
2020060300,631
2020060400,557
2020060500,549
2020060600,461
2020060700,521
2020060800,615
2020060900,599
2020061000,505
2020061100,508
2020061200,420
2020061300,339
2020061400,401
2020061500,405
2020061600,511
2020061700,437
2020061800,395
2020061900,383
2020062000,347
2020062100,394
2020062200,494
2020062300,443
2020062400,407
2020062500,405
2020062600,344
2020062700,358
2020062800,369
2020062900,431
2020063000,399
2020070100,417
2020070200,390
2020070300,355
2020070400,321
2020070500,302
2020070600,346
2020070700,319
2020070800,331
2020070900,387
2020071000,349
2020071100,296
2020071200,311
2020071300,358
2020071400,385
2020071500,368
2020071600,400
2020071700,340
2020071800,286
2020071900,281
2020072000,416
2020072100,362
2020072200,372
2020072300,403
2020072400,447
2020072500,423
2020072600,243
2020072700,287
2020072800,359
2020072900,331
2020073000,319
2020073100,296
2020080100,226
2020080200,245
2020080300,259
2020080400,289
2020080500,321
2020080600,293
2020080700,250
2020080800,225
2020080900,218
2020081000,285
2020081100,260
2020081200,266
2020081300,325
2020081400,311
2020081500,239
2020081600,257
2020081700,317
2020081800,294
2020081900,269
2020082000,260
2020082100,269
2020082200,212
2020082300,237
2020082400,281
2020082500,255
2020082600,282
2020082700,276
2020082800,262
2020082900,245
2020083000,244
2020083100,297
2020090100,346
2020090200,307
2020090300,319
2020090400,298
2020090500,233
2020090600,325
2020090700,282
2020090800,297
2020090900,314
2020091000,302
2020091100,300
2020091200,266
2020091300,279
2020091400,347
2020091500,341
2020091600,280
2020091700,343
2020091800,378
2020091900,270
2020092000,274
2020092100,337
2020092200,308
2020092300,332
2020092400,309
2020092500,326
2020092600,224
2020092700,269
2020092800,317
2020092900,303
2020093000,304
2020100100,289
2020100200,242
2020100300,231
2020100400,244
2020100500,331
2020100600,319
2020100700,398
2020100800,320
2020100900,363
2020101000,290
2020101100,269
2020101200,375
2020101300,355
2020101400,377
2020101500,389
2020101600,310
2020101700,259
2020101800,284
2020101900,418
2020102000,403
2020102100,410
2020102200,428
2020102300,396
2020102400,231
2020102500,327
2020102600,417
2020102700,346
2020102800,399
2020102900,375
2020103000,332
2020103100,282
2020110100,330
2020110200,454
2020110300,411
2020110400,315
2020110500,384
2020110600,291
2020110700,320
2020110800,351
2020110900,408
2020111000,341
2020111100,387
2020111200,398
2020111300,324
2020111400,294
2020111500,307
2020111600,384
2020111700,367
2020111800,390
2020111900,401
2020112000,337
2020112100,262
2020112200,336
2020112300,512
2020112400,314
2020112500,260
2020112600,311
2020112700,305
2020112800,233
2020112900,348
2020113000,460
2020120100,396
2020120200,343
2020120300,338
2020120400,321
2020120500,281
2020120600,320
2020120700,403
2020120800,318
2020120900,362
2020121000,322
2020121100,311
2020121200,255
2020121300,252
2020121400,310
2020121500,411
2020121600,319
2020121700,240
2020121800,347
2020121900,290
2020122000,312
2020122100,318
2020122200,253
2020122300,215
2020122400,162
2020122500,161
2020122600,199
2020122700,247
2020122800,241
2020122900,268
2020123000,261
2020123100,226
