timestamp,pageview
2020010100,16
2020010200,22
2020010300,8
2020010400,16
2020010500,12
2020010600,7
2020010700,23
2020010800,19
2020010900,10
2020011000,14
2020011100,14
2020011200,13
2020011300,11
2020011400,14
2020011500,13
2020011600,12
2020011700,7
2020011800,14
2020011900,17
2020012000,13
2020012100,12
2020012200,11
2020012300,9
2020012400,12
2020012500,16
2020012600,12
2020012700,6
2020012800,8
2020012900,6
2020013000,19
2020013100,12
2020020100,13
2020020200,10
2020020300,5
2020020400,8
2020020500,16
2020020600,10
2020020700,7
2020020800,12
2020020900,24
2020021000,16
2020021100,7
2020021200,11
2020021300,13
2020021400,14
2020021500,10
2020021600,14
2020021700,9
2020021800,13
2020021900,14
2020022000,6
2020022100,8
2020022200,21
2020022300,17
2020022400,15
2020022500,11
2020022600,10
2020022700,8
2020022800,8
2020022900,14
2020030100,6
2020030200,15
2020030300,9
2020030400,5
2020030500,13
2020030600,14
2020030700,8
2020030800,14
2020030900,7
2020031000,14
2020031100,9
2020031200,2
2020031300,7
2020031400,9
2020031500,12
2020031600,12
2020031700,16
2020031800,11
2020031900,12
2020032000,12
2020032100,8
2020032200,5
2020032300,6
2020032400,17
2020032500,2
2020032600,11
2020032700,9
2020032800,19
2020032900,9
2020033000,117
2020033100,62
2020040100,1869
2020040200,30231
2020040300,12661
2020040400,7706
2020040500,3864
2020040600,2330
2020040700,1785
2020040800,1428
2020040900,1252
2020041000,1024
2020041100,903
2020041200,716
2020041300,591
2020041400,494
2020041500,382
2020041600,567
2020041700,515
2020041800,374
2020041900,721
2020042000,353
2020042100,352
2020042200,284
2020042300,282
2020042400,257
2020042500,299
2020042600,269
2020042700,2338
2020042800,215
2020042900,258
2020043000,221
2020050100,180
2020050200,245
2020050300,171
2020050400,169
2020050500,151
2020050600,167
2020050700,182
2020050800,143
2020050900,162
2020051000,178
2020051100,142
2020051200,139
2020051300,157
2020051400,178
2020051500,139
2020051600,125
2020051700,157
2020051800,151
2020051900,110
2020052000,119
2020052100,106
2020052200,95
2020052300,83
2020052400,107
2020052500,87
2020052600,94
2020052700,81
2020052800,73
2020052900,92
2020053000,115
2020053100,85
2020060100,98
2020060200,96
2020060300,72
2020060400,101
2020060500,84
2020060600,96
2020060700,106
2020060800,82
2020060900,92
2020061000,118
2020061100,64
2020061200,82
2020061300,55
2020061400,78
2020061500,84
2020061600,72
2020061700,72
2020061800,84
2020061900,115
2020062000,84
2020062100,75
2020062200,88
2020062300,75
2020062400,62
2020062500,77
2020062600,67
2020062700,108
2020062800,72
2020062900,56
2020063000,75
2020070100,85
2020070200,96
2020070300,60
2020070400,69
2020070500,84
2020070600,109
2020070700,157
2020070800,88
2020070900,83
2020071000,84
2020071100,66
2020071200,78
2020071300,65
2020071400,73
2020071500,77
2020071600,79
2020071700,70
2020071800,68
2020071900,82
2020072000,55
2020072100,55
2020072200,66
2020072300,73
2020072400,54
2020072500,110
2020072600,61
2020072700,45
2020072800,71
2020072900,83
2020073000,58
2020073100,64
2020080100,60
2020080200,64
2020080300,66
2020080400,53
2020080500,53
2020080600,51
2020080700,42
2020080800,55
2020080900,67
2020081000,41
2020081100,59
2020081200,63
2020081300,61
2020081400,57
2020081500,51
2020081600,44
2020081700,57
2020081800,60
2020081900,42
2020082000,52
2020082100,66
2020082200,97
2020082300,77
2020082400,95
2020082500,38
2020082600,37
2020082700,56
2020082800,65
2020082900,55
2020083000,59
2020083100,48
2020090100,45
2020090200,118
2020090300,54
2020090400,50
2020090500,38
2020090600,43
2020090700,56
2020090800,76
2020090900,79
2020091000,66
2020091100,39
2020091200,44
2020091300,50
2020091400,52
2020091500,41
2020091600,66
2020091700,81
2020091800,43
2020091900,51
2020092000,66
2020092100,41
2020092200,58
2020092300,51
2020092400,41
2020092500,38
2020092600,36
2020092700,43
2020092800,41
2020092900,47
2020093000,53
2020100100,31
2020100200,29
2020100300,40
2020100400,36
2020100500,35
2020100600,53
2020100700,50
2020100800,47
2020100900,29
2020101000,48
2020101100,46
2020101200,46
2020101300,38
2020101400,38
2020101500,35
2020101600,32
2020101700,45
2020101800,33
2020101900,41
2020102000,49
2020102100,51
2020102200,49
2020102300,40
2020102400,21
2020102500,28
2020102600,36
2020102700,36
2020102800,29
2020102900,32
2020103000,31
2020103100,30
2020110100,29
2020110200,42
2020110300,32
2020110400,29
2020110500,24
2020110600,30
2020110700,46
2020110800,46
2020110900,30
2020111000,30
2020111100,30
2020111200,45
2020111300,39
2020111400,36
2020111500,37
2020111600,38
2020111700,31
2020111800,51
2020111900,43
2020112000,38
2020112100,36
2020112200,38
2020112300,31
2020112400,31
2020112500,41
2020112600,36
2020112700,43
2020112800,55
2020112900,38
2020113000,47
2020120100,45
2020120200,32
2020120300,29
2020120400,28
2020120500,28
2020120600,34
2020120700,36
2020120800,40
2020120900,39
2020121000,33
2020121100,37
2020121200,37
2020121300,30
2020121400,23
2020121500,36
2020121600,33
2020121700,24
2020121800,31
2020121900,42
2020122000,40
2020122100,38
2020122200,39
2020122300,51
2020122400,44
2020122500,43
2020122600,40
2020122700,44
2020122800,36
2020122900,45
2020123000,41
2020123100,37
