timestamp,pageview
2020010100,48
2020010200,67
2020010300,52
2020010400,95
2020010500,74
2020010600,60
2020010700,61
2020010800,43
2020010900,68
2020011000,51
2020011100,43
2020011200,61
2020011300,66
2020011400,58
2020011500,51
2020011600,47
2020011700,42
2020011800,61
2020011900,48
2020012000,57
2020012100,50
2020012200,27
2020012300,59
2020012400,48
2020012500,74
2020012600,47
2020012700,47
2020012800,67
2020012900,34
2020013000,41
2020013100,45
2020020100,48
2020020200,58
2020020300,55
2020020400,41
2020020500,60
2020020600,38
2020020700,44
2020020800,50
2020020900,62
2020021000,62
2020021100,47
2020021200,59
2020021300,52
2020021400,42
2020021500,79
2020021600,50
2020021700,42
2020021800,64
2020021900,66
2020022000,52
2020022100,45
2020022200,50
2020022300,50
2020022400,67
2020022500,62
2020022600,46
2020022700,34
2020022800,48
2020022900,59
2020030100,53
2020030200,42
2020030300,55
2020030400,74
2020030500,55
2020030600,52
2020030700,47
2020030800,59
2020030900,59
2020031000,62
2020031100,50
2020031200,36
2020031300,38
2020031400,52
2020031500,48
2020031600,54
2020031700,44
2020031800,42
2020031900,48
2020032000,49
2020032100,43
2020032200,38
2020032300,41
2020032400,45
2020032500,34
2020032600,65
2020032700,59
2020032800,51
2020032900,45
2020033000,40
2020033100,110
2020040100,65
2020040200,42
2020040300,64
2020040400,67
2020040500,66
2020040600,50
2020040700,46
2020040800,63
2020040900,86
2020041000,76
2020041100,74
2020041200,60
2020041300,70
2020041400,67
2020041500,68
2020041600,63
2020041700,98
2020041800,72
2020041900,64
2020042000,72
2020042100,77
2020042200,67
2020042300,459
2020042400,357
2020042500,116
2020042600,85
2020042700,101
2020042800,85
2020042900,77
2020043000,59
2020050100,42
2020050200,50
2020050300,52
2020050400,71
2020050500,71
2020050600,79
2020050700,58
2020050800,55
2020050900,72
2020051000,53
2020051100,71
2020051200,74
2020051300,53
2020051400,69
2020051500,60
2020051600,43
2020051700,53
2020051800,79
2020051900,84
2020052000,68
2020052100,76
2020052200,47
2020052300,63
2020052400,74
2020052500,68
2020052600,62
2020052700,56
2020052800,76
2020052900,81
2020053000,48
2020053100,66
2020060100,139
2020060200,85
2020060300,61
2020060400,61
2020060500,50
2020060600,51
2020060700,96
2020060800,99
2020060900,80
2020061000,68
2020061100,92
2020061200,74
2020061300,86
2020061400,119
2020061500,86
2020061600,103
2020061700,105
2020061800,83
2020061900,98
2020062000,89
2020062100,96
2020062200,101
2020062300,109
2020062400,54
2020062500,67
2020062600,74
2020062700,50
2020062800,55
2020062900,50
2020063000,58
2020070100,64
2020070200,70
2020070300,56
2020070400,62
2020070500,82
2020070600,70
2020070700,71
2020070800,70
2020070900,51
2020071000,70
2020071100,88
2020071200,71
2020071300,76
2020071400,69
2020071500,76
2020071600,81
2020071700,54
2020071800,74
2020071900,69
2020072000,68
2020072100,61
2020072200,78
2020072300,54
2020072400,68
2020072500,62
2020072600,66
2020072700,69
2020072800,80
2020072900,54
2020073000,111
2020073100,85
2020080100,59
2020080200,67
2020080300,74
2020080400,49
2020080500,60
2020080600,52
2020080700,56
2020080800,97
2020080900,1283
2020081000,368
2020081100,92
2020081200,82
2020081300,76
2020081400,60
2020081500,60
2020081600,183
2020081700,30295
2020081800,31581
2020081900,32329
2020082000,6198
2020082100,4188
2020082200,2582
2020082300,2496
2020082400,1635
2020082500,1435
2020082600,887
2020082700,539
2020082800,479
2020082900,393
2020083000,386
2020083100,293
2020090100,302
2020090200,316
2020090300,230
2020090400,377
2020090500,942
2020090600,324
2020090700,290
2020090800,268
2020090900,396
2020091000,441
2020091100,316
2020091200,287
2020091300,228
2020091400,131
2020091500,165
2020091600,181
2020091700,198
2020091800,142
2020091900,149
2020092000,128
2020092100,151
2020092200,119
2020092300,144
2020092400,125
2020092500,119
2020092600,117
2020092700,129
2020092800,114
2020092900,186
2020093000,130
2020100100,120
2020100200,782
2020100300,388
2020100400,183
2020100500,159
2020100600,138
2020100700,98
2020100800,123
2020100900,151
2020101000,101
2020101100,87
2020101200,98
2020101300,109
2020101400,102
2020101500,130
2020101600,80
2020101700,94
2020101800,84
2020101900,91
2020102000,88
2020102100,127
2020102200,102
2020102300,98
2020102400,69
2020102500,77
2020102600,92
2020102700,95
2020102800,97
2020102900,138
2020103000,110
2020103100,85
2020110100,91
2020110200,99
2020110300,118
2020110400,116
2020110500,145
2020110600,137
2020110700,109
2020110800,114
2020110900,128
2020111000,136
2020111100,165
2020111200,122
2020111300,100
2020111400,118
2020111500,125
2020111600,115
2020111700,122
2020111800,133
2020111900,969
2020112000,1234
2020112100,965
2020112200,668
2020112300,308
2020112400,237
2020112500,527
2020112600,145
2020112700,132
2020112800,146
2020112900,141
2020113000,158
2020120100,136
2020120200,121
2020120300,97
2020120400,105
2020120500,193
2020120600,230
2020120700,173
2020120800,132
2020120900,115
2020121000,98
2020121100,102
2020121200,129
2020121300,189
2020121400,142
2020121500,190
2020121600,111
2020121700,124
2020121800,118
2020121900,144
2020122000,441
2020122100,245
2020122200,131
2020122300,120
2020122400,92
2020122500,96
2020122600,109
2020122700,95
2020122800,111
2020122900,79
2020123000,94
2020123100,96
