timestamp,pageview
2020040500,164
2020040600,259
2020040700,227
2020040800,270
2020040900,192
2020041000,195
2020041100,195
2020041200,212
2020041300,181
2020041400,188
2020041500,149
2020041600,147
2020041700,189
2020041800,171
2020041900,123
2020042000,115
2020042100,95
2020042200,99
2020042300,71
2020042400,114
2020042500,88
2020042600,109
2020042700,118
2020042800,130
2020042900,89
2020043000,93
2020050100,121
2020050200,91
2020050300,90
2020050400,121
2020050500,111
2020050600,125
2020050700,83
2020050800,147
2020050900,109
2020051000,352
2020051100,283
2020051200,184
2020051300,221
2020051400,226
2020051500,204
2020051600,150
2020051700,143
2020051800,181
2020051900,149
2020052000,150
2020052100,133
2020052200,118
2020052300,134
2020052400,134
2020052500,116
2020052600,181
2020052700,148
2020052800,168
2020052900,121
2020053000,118
2020053100,94
2020060100,91
2020060200,70
2020060300,77
2020060400,91
2020060500,91
2020060600,91
2020060700,72
2020060800,73
2020060900,108
2020061000,108
2020061100,81
2020061200,94
2020061300,70
2020061400,72
2020061500,102
2020061600,129
2020061700,111
2020061800,109
2020061900,115
2020062000,90
2020062100,81
2020062200,96
2020062300,88
2020062400,101
2020062500,131
2020062600,140
2020062700,119
2020062800,126
2020062900,130
2020063000,171
2020070100,159
2020070200,147
2020070300,121
2020070400,99
2020070500,105
2020070600,144
2020070700,154
2020070800,123
2020070900,126
2020071000,96
2020071100,89
2020071200,84
2020071300,141
2020071400,163
2020071500,158
2020071600,162
2020071700,175
2020071800,111
2020071900,263
2020072000,152
2020072100,121
2020072200,168
2020072300,171
2020072400,239
2020072500,165
2020072600,128
2020072700,161
2020072800,192
2020072900,156
2020073000,142
2020073100,139
2020080100,131
2020080200,156
2020080300,165
2020080400,140
2020080500,173
2020080600,147
2020080700,112
2020080800,80
2020080900,99
2020081000,120
2020081100,199
2020081200,103
2020081300,114
2020081400,122
2020081500,93
2020081600,118
2020081700,106
2020081800,103
2020081900,123
2020082000,112
2020082100,111
2020082200,111
2020082300,93
2020082400,87
2020082500,94
2020082600,96
2020082700,230
2020082800,178
2020082900,91
2020083000,82
2020083100,98
2020090100,95
2020090200,109
2020090300,89
2020090400,82
2020090500,79
2020090600,71
2020090700,91
2020090800,108
2020090900,77
2020091000,146
2020091100,103
2020091200,87
2020091300,81
2020091400,94
2020091500,88
2020091600,97
2020091700,81
2020091800,107
2020091900,77
2020092000,105
2020092100,84
2020092200,143
2020092300,102
2020092400,97
2020092500,87
2020092600,78
2020092700,71
2020092800,97
2020092900,125
2020093000,89
2020100100,82
2020100200,82
2020100300,86
2020100400,70
2020100500,105
2020100600,149
2020100700,116
2020100800,180
2020100900,109
2020101000,101
2020101100,111
2020101200,163
2020101300,160
2020101400,126
2020101500,123
2020101600,162
2020101700,88
2020101800,104
2020101900,193
2020102000,169
2020102100,156
2020102200,126
2020102300,151
2020102400,116
2020102500,125
2020102600,177
2020102700,140
2020102800,134
2020102900,167
2020103000,162
2020103100,179
2020110100,146
2020110200,134
2020110300,121
2020110400,135
2020110500,114
2020110600,98
2020110700,95
2020110800,137
2020110900,137
2020111000,133
2020111100,156
2020111200,145
2020111300,125
2020111400,96
2020111500,97
2020111600,156
2020111700,112
2020111800,157
2020111900,204
2020112000,133
2020112100,141
2020112200,255
2020112300,382
2020112400,129
2020112500,149
2020112600,136
2020112700,129
2020112800,116
2020112900,115
2020113000,132
2020120100,155
2020120200,136
2020120300,154
2020120400,142
2020120500,120
2020120600,117
2020120700,167
2020120800,149
2020120900,147
2020121000,140
2020121100,107
2020121200,127
2020121300,104
2020121400,138
2020121500,166
2020121600,140
2020121700,109
2020121800,165
2020121900,113
2020122000,156
2020122100,132
2020122200,151
2020122300,136
2020122400,108
2020122500,82
2020122600,98
2020122700,122
2020122800,153
2020122900,144
2020123000,172
2020123100,145
