timestamp,pageview
2020010100,25
2020010200,87
2020010300,93
2020010400,43
2020010500,27
2020010600,32
2020010700,52
2020010800,17
2020010900,52
2020011000,21
2020011100,70
2020011200,35
2020011300,33
2020011400,23
2020011500,22
2020011600,29
2020011700,27
2020011800,30
2020011900,20
2020012000,33
2020012100,62
2020012200,86
2020012300,129
2020012400,142
2020012500,164
2020012600,206
2020012700,162
2020012800,185
2020012900,217
2020013000,172
2020013100,236
2020020100,136
2020020200,151
2020020300,165
2020020400,215
2020020500,171
2020020600,174
2020020700,233
2020020800,205
2020020900,126
2020021000,180
2020021100,153
2020021200,306
2020021300,186
2020021400,130
2020021500,91
2020021600,123
2020021700,109
2020021800,96
2020021900,96
2020022000,111
2020022100,139
2020022200,95
2020022300,150
2020022400,244
2020022500,741
2020022600,683
2020022700,974
2020022800,919
2020022900,836
2020030100,964
2020030200,1250
2020030300,1326
2020030400,1173
2020030500,1538
2020030600,2093
2020030700,2263
2020030800,2602
2020030900,6082
2020031000,5938
2020031100,13400
2020031200,24610
2020031300,20479
2020031400,21191
2020031500,37035
2020031600,42020
2020031700,33023
2020031800,33449
2020031900,36115
2020032000,38806
2020032100,32899
2020032200,29681
2020032300,27209
2020032400,22887
2020032500,19557
2020032600,20480
2020032700,19089
2020032800,17208
2020032900,18800
2020033000,20695
2020033100,15959
2020040100,15000
2020040200,14098
2020040300,13044
2020040400,11302
2020040500,11696
2020040600,11774
2020040700,10738
2020040800,10249
2020040900,10323
2020041000,9469
2020041100,8726
2020041200,8891
2020041300,9459
2020041400,9742
2020041500,9845
2020041600,9235
2020041700,9380
2020041800,8794
2020041900,10910
2020042000,8550
2020042100,8361
2020042200,8911
2020042300,8762
2020042400,7248
2020042500,6362
2020042600,6619
2020042700,7539
2020042800,6962
2020042900,6749
2020043000,6035
2020050100,5609
2020050200,5086
2020050300,5479
2020050400,6355
2020050500,5657
2020050600,5074
2020050700,4925
2020050800,4533
2020050900,4313
2020051000,4001
2020051100,4827
2020051200,4992
2020051300,4731
2020051400,4521
2020051500,4088
2020051600,4045
2020051700,3843
2020051800,4624
2020051900,5060
2020052000,4596
2020052100,4387
2020052200,3961
2020052300,3485
2020052400,3503
2020052500,3746
2020052600,4177
2020052700,3854
2020052800,4286
2020052900,3337
2020053000,3086
2020053100,2702
2020060100,3141
2020060200,2822
2020060300,2792
2020060400,2845
2020060500,2563
2020060600,2386
2020060700,2358
2020060800,2745
2020060900,2825
2020061000,2827
2020061100,2755
2020061200,2351
2020061300,2371
2020061400,2670
2020061500,2622
2020061600,2499
2020061700,2399
2020061800,2296
2020061900,2191
2020062000,2074
2020062100,2122
2020062200,2305
2020062300,2154
2020062400,1937
2020062500,2218
2020062600,2062
2020062700,2735
2020062800,2051
2020062900,2231
2020063000,2220
2020070100,2077
2020070200,2091
2020070300,1967
2020070400,1891
2020070500,2004
2020070600,2377
2020070700,2712
2020070800,2404
2020070900,2335
2020071000,2065
2020071100,2036
2020071200,2232
2020071300,2130
2020071400,2224
2020071500,2271
2020071600,2230
2020071700,1899
2020071800,1743
2020071900,1953
2020072000,2348
2020072100,1927
2020072200,1927
2020072300,1855
