timestamp,pageview
2020072200,92
2020072300,252
2020072400,191
2020072500,167
2020072600,182
2020072700,162
2020072800,145
2020072900,153
2020073000,161
2020073100,139
2020080100,141
2020080200,157
2020080300,149
2020080400,138
2020080500,151
2020080600,167
2020080700,168
2020080800,111
2020080900,174
2020081000,144
2020081100,147
2020081200,130
2020081300,123
2020081400,195
2020081500,98
2020081600,116
2020081700,124
2020081800,98
2020081900,114
2020082000,132
2020082100,126
2020082200,105
2020082300,115
2020082400,125
2020082500,104
2020082600,118
2020082700,170
2020082800,117
2020082900,105
2020083000,129
2020083100,136
2020090100,108
2020090200,126
2020090300,125
2020090400,111
2020090500,79
2020090600,110
2020090700,115
2020090800,136
2020090900,132
2020091000,158
2020091100,103
2020091200,117
2020091300,90
2020091400,138
2020091500,122
2020091600,94
2020091700,91
2020091800,105
2020091900,96
2020092000,144
2020092100,106
2020092200,122
2020092300,118
2020092400,88
2020092500,103
2020092600,98
2020092700,104
2020092800,106
2020092900,81
2020093000,109
2020100100,155
2020100200,86
2020100300,64
2020100400,85
2020100500,89
2020100600,114
2020100700,110
2020100800,88
2020100900,102
2020101000,64
2020101100,83
2020101200,73
2020101300,99
2020101400,99
2020101500,92
2020101600,75
2020101700,91
2020101800,65
2020101900,115
2020102000,110
2020102100,136
2020102200,143
2020102300,110
2020102400,78
2020102500,84
2020102600,117
2020102700,89
2020102800,110
2020102900,117
2020103000,100
2020103100,120
2020110100,73
2020110200,99
2020110300,86
2020110400,79
2020110500,94
2020110600,115
2020110700,67
2020110800,68
2020110900,93
2020111000,83
2020111100,75
2020111200,90
2020111300,69
2020111400,62
2020111500,114
2020111600,96
2020111700,104
2020111800,113
2020111900,146
2020112000,123
2020112100,110
2020112200,212
2020112300,317
2020112400,104
2020112500,178
2020112600,108
2020112700,133
2020112800,99
2020112900,143
2020113000,123
2020120100,85
2020120200,136
2020120300,100
2020120400,99
2020120500,97
2020120600,95
2020120700,102
2020120800,146
2020120900,174
2020121000,108
2020121100,161
2020121200,95
2020121300,109
2020121400,125
2020121500,123
2020121600,101
2020121700,117
2020121800,143
2020121900,130
2020122000,98
2020122100,76
2020122200,107
2020122300,74
2020122400,56
2020122500,50
2020122600,59
2020122700,68
2020122800,65
2020122900,63
2020123000,73
2020123100,81
