timestamp,pageview
2020080700,94
2020080800,80
2020080900,47
2020081000,71
2020081100,114
2020081200,74
2020081300,44
2020081400,26
2020081500,25
2020081600,16
2020081700,46
2020081800,23
2020081900,30
2020082000,30
2020082100,31
2020082200,34
2020082300,27
2020082400,30
2020082500,68
2020082600,50
2020082700,88
2020082800,81
2020082900,53
2020083000,63
2020083100,90
2020090100,98
2020090200,82
2020090300,112
2020090400,128
2020090500,86
2020090600,67
2020090700,58
2020090800,58
2020090900,92
2020091000,93
2020091100,84
2020091200,68
2020091300,87
2020091400,97
2020091500,70
2020091600,59
2020091700,68
2020091800,57
2020091900,45
2020092000,74
2020092100,68
2020092200,62
2020092300,71
2020092400,115
2020092500,118
2020092600,85
2020092700,95
2020092800,89
2020092900,124
2020093000,113
2020100100,92
2020100200,150
2020100300,88
2020100400,88
2020100500,131
2020100600,170
2020100700,152
2020100800,149
2020100900,103
2020101000,86
2020101100,101
2020101200,100
2020101300,136
2020101400,144
2020101500,129
2020101600,197
2020101700,148
2020101800,151
2020101900,171
2020102000,100
2020102100,145
2020102200,220
2020102300,127
2020102400,98
2020102500,128
2020102600,110
2020102700,148
2020102800,107
2020102900,121
2020103000,115
2020103100,84
2020110100,67
2020110200,91
2020110300,93
2020110400,105
2020110500,80
2020110600,94
2020110700,94
2020110800,71
2020110900,80
2020111000,84
2020111100,102
2020111200,95
2020111300,112
2020111400,78
2020111500,96
2020111600,117
2020111700,93
2020111800,75
2020111900,94
2020112000,58
2020112100,69
2020112200,185
2020112300,363
2020112400,93
2020112500,71
2020112600,63
2020112700,66
2020112800,55
2020112900,109
2020113000,84
2020120100,100
2020120200,83
2020120300,97
2020120400,72
2020120500,77
2020120600,107
2020120700,67
2020120800,83
2020120900,166
2020121000,92
2020121100,87
2020121200,76
2020121300,103
2020121400,83
2020121500,110
2020121600,99
2020121700,99
2020121800,87
2020121900,48
2020122000,53
2020122100,77
2020122200,101
2020122300,80
2020122400,77
2020122500,46
2020122600,37
2020122700,56
2020122800,87
2020122900,59
2020123000,65
2020123100,63
