timestamp,pageview
2020010100,3484
2020010200,3496
2020010300,3613
2020010400,4611
2020010500,3860
2020010600,3412
2020010700,5786
2020010800,3640
2020010900,3744
2020011000,3270
2020011100,4276
2020011200,4480
2020011300,3896
2020011400,4515
2020011500,3258
2020011600,3909
2020011700,3412
2020011800,4898
2020011900,4415
2020012000,4302
2020012100,5450
2020012200,4336
2020012300,4323
2020012400,4206
2020012500,6196
2020012600,9356
2020012700,52241
2020012800,50382
2020012900,17675
2020013000,14443
2020013100,10489
2020020100,13691
2020020200,10489
2020020300,10304
2020020400,27690
2020020500,11178
2020020600,19744
2020020700,10313
2020020800,16527
2020020900,11115
2020021000,15187
2020021100,21174
2020021200,11849
2020021300,10415
2020021400,9961
2020021500,12897
2020021600,12499
2020021700,34954
2020021800,27021
2020021900,14419
2020022000,12546
2020022100,11569
2020022200,16935
2020022300,14346
2020022400,13805
2020022500,17899
2020022600,12792
2020022700,26216
2020022800,26833
2020022900,106006
2020030100,34214
2020030200,26613
2020030300,42186
2020030400,23848
2020030500,23548
2020030600,20376
2020030700,29972
2020030800,32806
2020030900,79965
2020031000,69602
2020031100,36470
2020031200,38082
2020031300,30464
2020031400,39559
2020031500,30579
2020031600,36780
2020031700,116610
2020031800,48862
2020031900,59259
2020032000,42705
2020032100,90230
2020032200,53306
2020032300,53971
2020032400,105888
2020032500,60796
2020032600,63618
2020032700,119434
2020032800,154357
2020032900,105038
2020033000,102361
2020033100,137637
2020040100,96658
2020040200,94024
2020040300,125555
2020040400,436504
2020040500,854178
2020040600,759937
2020040700,120813
2020040800,56419
2020040900,39294
2020041000,32182
2020041100,32712
2020041200,27571
2020041300,20579
2020041400,23979
2020041500,17341
2020041600,15239
2020041700,12864
2020041800,17593
2020041900,13508
2020042000,10946
2020042100,12942
2020042200,10390
2020042300,9284
2020042400,8344
2020042500,9804
2020042600,8628
2020042700,7841
2020042800,9044
2020042900,7665
2020043000,6910
2020050100,7073
2020050200,8757
2020050300,8013
2020050400,7348
2020050500,8900
2020050600,7200
2020050700,6773
2020050800,6497
2020050900,8299
2020051000,11188
2020051100,14241
2020051200,11080
2020051300,7365
2020051400,6076
2020051500,5745
2020051600,6013
2020051700,7156
2020051800,7057
2020051900,7393
2020052000,5606
2020052100,5280
2020052200,4927
2020052300,5577
2020052400,5406
2020052500,5275
2020052600,5502
2020052700,4453
2020052800,4328
2020052900,3721
2020053000,4169
2020053100,4610
2020060100,4192
2020060200,4491
2020060300,4441
2020060400,3832
2020060500,3934
2020060600,4558
2020060700,5219
2020060800,5168
2020060900,4746
2020061000,4091
