timestamp,pageview
2020012400,1
2020012600,3978
2020012700,6508
2020012800,8597
2020012900,5769
2020013000,5408
2020013100,6610
2020020100,6380
2020020200,7769
2020020300,6962
2020020400,6081
2020020500,5888
2020020600,5196
2020020700,9795
2020020800,5289
2020020900,5418
2020021000,5927
2020021100,5208
2020021200,4013
2020021300,4630
2020021400,3335
2020021500,3012
2020021600,4144
2020021700,5568
2020021800,6681
2020021900,7043
2020022000,4833
2020022100,3856
2020022200,4182
2020022300,6777
2020022400,8603
2020022500,8837
2020022600,10132
2020022700,9795
2020022800,10775
2020022900,7831
2020030100,7924
2020030200,7986
2020030300,7307
2020030400,8822
2020030500,7611
2020030600,7091
2020030700,5983
2020030800,6068
2020030900,8256
2020031000,10971
2020031100,12351
2020031200,21037
2020031300,25042
2020031400,21192
2020031500,21167
2020031600,21428
2020031700,26062
2020031800,30104
2020031900,29786
2020032000,25465
2020032100,25853
2020032200,26627
2020032300,24325
2020032400,28479
2020032500,30341
2020032600,30164
2020032700,30922
2020032800,24552
2020032900,23543
2020033000,19384
2020033100,18569
2020040100,22119
2020040200,18642
2020040300,17389
2020040400,16606
2020040500,17837
2020040600,15564
2020040700,14376
2020040800,13045
2020040900,12064
2020041000,11380
2020041100,11792
2020041200,15074
2020041300,14759
2020041400,16915
2020041500,17261
2020041600,31416
2020041700,26016
2020041800,20151
2020041900,18139
2020042000,13799
2020042100,11839
2020042200,10069
2020042300,8785
2020042400,6807
2020042500,6060
2020042600,5994
2020042700,5813
2020042800,5947
2020042900,6108
2020043000,7369
2020050100,14231
2020050200,7796
2020050300,9195
2020050400,9795
2020050500,7360
2020050600,5820
2020050700,5373
2020050800,4314
2020050900,4042
2020051000,4186
2020051100,3991
2020051200,3226
2020051300,2939
2020051400,2875
2020051500,2496
2020051600,2263
2020051700,2682
2020051800,2465
2020051900,2086
2020052000,1814
2020052100,1821
2020052200,1537
2020052300,1437
2020052400,2273
2020052500,2055
2020052600,1983
2020052700,1805
2020052800,1373
2020052900,1335
2020053000,1192
2020053100,1127
2020060100,1094
2020060200,1021
2020060300,855
2020060400,1099
2020060500,977
2020060600,1037
2020060700,1086
2020060800,1321
2020060900,997
2020061000,961
2020061100,751
2020061200,787
2020061300,726
2020061400,831
2020061500,871
2020061600,737
2020061700,716
2020061800,817
2020061900,1086
2020062000,873
2020062100,992
2020062200,855
2020062300,870
2020062400,689
2020062500,833
2020062600,819
2020062700,860
2020062800,773
2020062900,887
2020063000,1117
2020070100,966
2020070200,830
2020070300,820
2020070400,798
2020070500,998
2020070600,1071
2020070700,1021
2020070800,955
2020070900,863
2020071000,799
2020071100,852
2020071200,954
2020071300,922
2020071400,887
2020071500,841
2020071600,873
2020071700,878
2020071800,974
2020071900,1024
2020072000,993
2020072100,876
2020072200,763
2020072300,859
2020072400,856
2020072500,871
2020072600,874
2020072700,807
2020072800,775
2020072900,950
2020073000,897
2020073100,812
2020080100,845
2020080200,888
2020080300,841
2020080400,890
2020080500,784
2020080600,821
2020080700,991
2020080800,709
2020080900,734
2020081000,943
2020081100,840
2020081200,920
2020081300,773
2020081400,662
2020081500,728
2020081600,696
2020081700,792
2020081800,723
2020081900,760
2020082000,668
2020082100,660
2020082200,604
2020082300,585
2020082400,516
2020082500,616
2020082600,585
2020082700,529
2020082800,555
2020082900,421
2020083000,489
2020083100,473
2020090100,529
2020090200,491
2020090300,474
2020090400,472
2020090500,415
2020090600,552
2020090700,481
2020090800,528
2020090900,523
2020091000,528
2020091100,501
2020091200,734
2020091300,785
2020091400,1039
2020091500,1099
2020091600,2033
2020091700,1225
2020091800,958
2020091900,598
2020092000,670
2020092100,620
2020092200,815
2020092300,674
2020092400,636
2020092500,615
2020092600,680
2020092700,443
2020092800,569
2020092900,479
2020093000,515
2020100100,472
2020100200,515
2020100300,621
2020100400,478
2020100500,548
2020100600,579
2020100700,839
2020100800,613
2020100900,553
2020101000,460
2020101100,492
2020101200,529
2020101300,540
2020101400,558
2020101500,520
2020101600,553
2020101700,495
2020101800,505
2020101900,597
2020102000,531
2020102100,671
2020102200,626
2020102300,577
2020102400,473
2020102500,519
2020102600,594
2020102700,689
2020102800,566
2020102900,645
2020103000,642
2020103100,670
2020110100,632
2020110200,630
2020110300,562
2020110400,442
2020110500,587
2020110600,515
2020110700,472
2020110800,598
2020110900,706
2020111000,654
2020111100,642
2020111200,639
2020111300,651
2020111400,492
2020111500,725
2020111600,877
2020111700,782
2020111800,728
2020111900,728
2020112000,676
2020112100,795
2020112200,821
2020112300,952
2020112400,699
2020112500,690
2020112600,684
2020112700,691
2020112800,752
2020112900,975
2020113000,1092
2020120100,1083
2020120200,1546
2020120300,2814
2020120400,3420
2020120500,3323
2020120600,3500
2020120700,3701
2020120800,3491
2020120900,2561
2020121000,2115
2020121100,1848
2020121200,1563
2020121300,1686
2020121400,2047
2020121500,1643
2020121600,1614
2020121700,1367
2020121800,1236
2020121900,1205
2020122000,1536
2020122100,1362
2020122200,1482
2020122300,1187
2020122400,1140
2020122500,955
2020122600,1106
2020122700,1279
2020122800,1490
2020122900,1843
2020123000,1793
2020123100,1291
